PK,BARRIO
5562,NUEVA ESPAÑA
7509592,EL VISO
8161705,EL PLANTIO
22745,PIOVERA
52734,NUEVA ESPAÑA
10014256,FONTARRON
8157031,VALDEFUENTES
5615,VALDEMARIN
4706188,EL VISO
6151715,LAS AGUILAS
5398,LISTA
5399,CASTILLA
5403,CONCEPCION
6082,PUEBLO NUEVO
5348,ALMENDRALES
5529,QUINTANA
5714,PALOMERAS SURESTE
5408,SAN DIEGO
5504,ABRANTES
6182,ARGUELLES
5931650,VALDEFUENTES
5517,ALMAGRO
10830569,NUMANCIA
5415,PROSPERIDAD
5508,SAN ANDRES
5511,QUINTANA
5417,CIUDAD JARDIN
5512,SAN PASCUAL
5515,APOSTOL SANTIAGO
5514,PUERTA DEL ANGEL
6184,NUEVA ESPAÑA
5516,ENTREVIAS
6046,TIMON
5520,GAZTAMBIDE
5821,AMBROZ
5381,BUENAVISTA
6746,ARAVACA
5522,NUMANCIA
5523,RIOS ROSAS
5524,VALDEACEDERAS
5525,LUCERO
6049,ACACIAS
5590259,ORCASITAS
5385,NUMANCIA
5366,LAS AGUILAS
5505,CASCO H.VICALVARO
5737,VALLEHERMOSO
6038,MIRASIERRA
62744,CASCO H.VICALVARO
4711013,VALDEFUENTES
4894255,VALVERDE
8157163,EL VISO
5530,LAS AGUILAS
43526,EL VISO
43523,PIOVERA
106077,PIOVERA
5723,CIUDAD UNIVERSITARIA
5531,VENTAS
6803100,CIUDAD UNIVERSITARIA
11018990,SIMANCAS
7692927,BERRUGUETE
10656604,EL VISO
5935431,VALVERDE
5534,VALDEMARIN
6085,VALLEHERMOSO
4964314,PROSPERIDAD
5535,ARGUELLES
5499,PEÑA GRANDE
5536,GUINDALERA
5454,CIUDAD JARDIN
5537,ALUCHE
4967937,TIMON
4694243,CASCO H.VALLECAS
62443,PAVONES
5540,PALOMERAS BAJAS
6183,CIUDAD JARDIN
5164741,VALDEFUENTES
5369,EL VISO
5547,COSTILLARES
5561,GOYA
5526,UNIVERSIDAD
5590344,ARAVACA
4517234,ARCOS
5761,ALMAGRO
5704,VILLAVERDE ALTO C.H.
6047,EL PLANTIO
5566,VALLEHERMOSO
5432,SIMANCAS
6051,PUEBLO NUEVO
5567,CASTELLANA
5501,PUEBLO NUEVO
5428,ROSAS
32306,NUEVA ESPAÑA
5549,ALMAGRO
5553,PINAR DEL REY
5554,CIUDAD UNIVERSITARIA
5632,JUSTICIA
5638,PALOMERAS BAJAS
5649,SAN FERMIN
5364,AMBROZ
134414,VENTAS
6052,LAS AGUILAS
6039,PEÑA GRANDE
5760,GAZTAMBIDE
5672,PALACIO
5457,HISPANOAMERICA
31788,ROSAS
4973344,VALVERDE
5575,PIOVERA
5576,COMILLAS
5578,PUEBLO NUEVO
5579,LOS ROSALES
5580,LOS ROSALES
5584,CIUDAD UNIVERSITARIA
5585,CASCO H.VALLECAS
5409,HELLIN
5712,ESTRELLA
5748,ARAVACA
6267,NUMANCIA
5588,LUCERO
5502,ALUCHE
134180,CHOPERA
5594,VISTA ALEGRE
5596,PRADOLONGO
5597,SAN JUAN BAUTISTA
5598,ARGUELLES
5599,UNIVERSIDAD
11124605,COSTILLARES
5371,COSTILLARES
5602,BERRUGUETE
