Código barrio,Nombre barrio,Codigo distrito,Nombre distrito,Fecha datos,Índice de Vulnerabilidad Bienestar Social e Igualdad,Índice de Vulnerabilidad Bienestar Social e Igualdad - media distrito,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad - media distrito,Índice de Vulnerabilidad Educación y Cultura,Índice de Vulnerabilidad Educación y Cultura - media distrito,Índice de Vulnerabilidad Economía y Empleo,Índice de Vulnerabilidad Economía y Empleo - media distrito,Índice de Vulnerabilidad Salud,Índice de Vulnerabilidad Salud - media distrito
86,Valverde,8,Fuencarral - El Pardo,2020,6.52,5.82,4.64,5.28,5.62,5.68,7.37,7.7,7.7,7.2
87,Mirasierra,8,Fuencarral - El Pardo,2020,5.64,5.82,5.28,5.28,4.93,5.68,6.23,7.7,6.96,7.2
88,El Goloso,8,Fuencarral - El Pardo,2020,8.89,5.82,6.84,5.28,4.92,5.68,6.19,7.7,7.44,7.2
91,Casa de Campo,9,Moncloa - Aravaca,2020,7.15,6.1,4.68,9.47,4.7,4.96,4.02,4.38,17.34,8.22
92,Argüelles,9,Moncloa - Aravaca,2020,5.38,6.1,22.95,9.47,4.21,4.96,4.58,4.38,6.36,8.22
93,Ciudad Universitaria,9,Moncloa - Aravaca,2020,5.85,6.1,5.25,9.47,6.11,4.96,4.08,4.38,7.79,8.22
94,Valdezarza,9,Moncloa - Aravaca,2020,5.87,6.1,7.72,9.47,5.35,4.96,4.73,4.38,7.19,8.22
95,Valdemarín,9,Moncloa - Aravaca,2020,8.61,6.1,4.49,9.47,5.94,4.96,4.34,4.38,6.69,8.22
96,El Plantío,9,Moncloa - Aravaca,2020,7.74,6.1,4.07,9.47,6.11,4.96,3.95,4.38,9.22,8.22
97,Aravaca,9,Moncloa - Aravaca,2020,5.84,6.1,6.11,9.47,4.27,4.96,4.22,4.38,7.21,8.22
101,Cármenes,10,Latina,2020,8.99,6.93,6.21,6.73,10.94,9.07,7.69,7.19,6.83,6.5
102,Puerta del Ángel,10,Latina,2020,7.05,6.93,8.34,6.73,8.6,9.07,7.4,7.19,6.74,6.5
103,Lucero,10,Latina,2020,6.77,6.93,6.68,6.73,8.84,9.07,7.01,7.19,6.62,6.5
104,Aluche,10,Latina,2020,6.49,6.93,6.53,6.73,8.97,9.07,6.63,7.19,6.42,6.5
105,Campamento,10,Latina,2020,6.47,6.93,6.83,6.73,8.63,9.07,11.63,7.19,5.99,6.5
106,Cuatro Vientos,10,Latina,2020,9.9,6.93,4.42,6.73,9.42,9.07,6.25,7.19,9.1,6.5
107,Águilas,10,Latina,2020,6.64,6.93,6.1,6.73,9.23,9.07,6.16,7.19,6.08,6.5
111,Comillas,11,Carabanchel,2020,8.67,8.9,6.95,6.87,12.01,11.15,14.66,11.77,6.78,6.66
112,Opañel,11,Carabanchel,2020,8.44,8.9,8.66,6.87,10.17,11.15,10.24,11.77,6.87,6.66
113,San Isidro,11,Carabanchel,2020,8.71,8.9,5.54,6.87,10.75,11.15,10.26,11.77,6.87,6.66
114,Vista Alegre,11,Carabanchel,2020,8.33,8.9,8.18,6.87,12.47,11.15,10.22,11.77,6.3,6.66
115,Puerta Bonita,11,Carabanchel,2020,10.54,8.9,7.98,6.87,10.82,11.15,14.66,11.77,7.54,6.66
116,Buenavista,11,Carabanchel,2020,9.02,8.9,5.46,6.87,9.85,11.15,10.21,11.77,5.77,6.66
117,Abrantes,11,Carabanchel,2020,8.61,8.9,5.53,6.87,12.46,11.15,14.66,11.77,6.99,6.66
121,Orcasitas,12,Usera,2020,8.27,8.61,4.64,5.74,11.61,11.39,7.79,9.44,10.27,9.89
122,Orcasur,12,Usera,2020,8.29,8.61,4.57,5.74,11.78,11.39,10.13,9.44,10.64,9.89
123,San Fermín,12,Usera,2020,8.5,8.61,4.12,5.74,11.1,11.39,9.62,9.44,9.19,9.89
124,Almendrales,12,Usera,2020,8.21,8.61,8.32,5.74,10.9,11.39,9.74,9.44,9.16,9.89
125,Moscardó,12,Usera,2020,10.17,8.61,5.78,5.74,10.64,11.39,9.29,9.44,9.75,9.89
126,Zofío,12,Usera,2020,8.06,8.61,6.92,5.74,13.09,11.39,9.61,9.44,9.24,9.89
127,Pradolongo,12,Usera,2020,8.08,8.61,5.99,5.74,11.54,11.39,10.46,9.44,11.42,9.89
131,Entrevías,13,Puente de Vallecas,2020,10.04,10.45,6.21,6.14,11.01,10.99,10.54,10.76,8.97,7.85
132,San Diego,13,Puente de Vallecas,2020,12.31,10.45,8.47,6.14,9.66,10.99,15.81,10.76,8.15,7.85
133,Palomeras Bajas,13,Puente de Vallecas,2020,9.91,10.45,5.61,6.14,11.43,10.99,9.23,10.76,7.43,7.85
134,Palomeras Sureste,13,Puente de Vallecas,2020,9.95,10.45,5.07,6.14,12.1,10.99,8.72,10.76,7.26,7.85
135,Portazgo,13,Puente de Vallecas,2020,10.1,10.45,5.27,6.14,12.61,10.99,9.76,10.76,6.95,7.85
136,Numancia,13,Puente de Vallecas,2020,10.19,10.45,5.91,6.14,9.82,10.99,10.07,10.76,8.17,7.85
141,Pavones,14,Moratalaz,2020,7.97,8.73,2.38,4.45,8.35,8.97,6.18,8.04,7.54,6.34
142,Horcajo,14,Moratalaz,2020,10.34,8.73,5.36,4.45,9.01,8.97,10.7,8.04,4.87,6.34
143,Marroquina,14,Moratalaz,2020,8.13,8.73,4.14,4.45,9.45,8.97,5.67,8.04,5.53,6.34
144,Media Legua,14,Moratalaz,2020,8.36,8.73,4.45,4.45,8.02,8.97,6.59,8.04,7.17,6.34
145,Fontarrón,14,Moratalaz,2020,10.37,8.73,4.16,4.45,10.27,8.97,10.93,8.04,7.34,6.34
146,Vinateros,14,Moratalaz,2020,8.17,8.73,5.97,4.45,8.18,8.97,10.31,8.04,5.67,6.34
151,Ventas,15,Ciudad Lineal,2020,5.93,6.32,7.12,8.34,6.04,5.84,7.19,7.37,6.89,6.42
152,Pueblo Nuevo,15,Ciudad Lineal,2020,5.74,6.32,9.33,8.34,6.21,5.84,7.45,7.37,5.96,6.42
153,Quintana,15,Ciudad Lineal,2020,6.21,6.32,13.94,8.34,5.58,5.84,7.6,7.37,6.77,6.42
154,Concepción,15,Ciudad Lineal,2020,6.29,6.32,6.84,8.34,5.25,5.84,11.2,7.37,6.71,6.42
155,San Pascual,15,Ciudad Lineal,2020,8.12,6.32,6.8,8.34,7.46,5.84,6.23,7.37,7.18,6.42
156,San Juan Bautista,15,Ciudad Lineal,2020,8.06,6.32,5.93,8.34,4.53,5.84,5.8,7.37,6.31,6.42
157,Colina,15,Ciudad Lineal,2020,8.41,6.32,5.39,8.34,6.48,5.84,6.15,7.37,5.91,6.42
158,Atalaya,15,Ciudad Lineal,2020,7.83,6.32,6.08,8.34,6.13,5.84,10.36,7.37,5.49,6.42
159,Costillares,15,Ciudad Lineal,2020,5.84,6.32,6.99,8.34,4.43,5.84,5.59,7.37,5.72,6.42
161,Palomas,16,Hortaleza,2020,7.55,5.94,5.42,6.75,6.36,5.65,9.37,5.56,6.74,6.94
162,Piovera,16,Hortaleza,2020,7.41,5.94,6.41,6.75,6.47,5.65,4.84,5.56,6.65,6.94
163,Canillas,16,Hortaleza,2020,5.22,5.94,7.18,6.75,6.1,5.65,4.76,5.56,7.4,6.94
164,Pinar del Rey,16,Hortaleza,2020,5.52,5.94,7.86,6.75,6.33,5.65,5.63,5.56,6.6,6.94
165,Apostol Santiago,16,Hortaleza,2020,5.2,5.94,7.87,6.75,5.73,5.65,9.88,5.56,8.51,6.94
166,Valdefuentes,16,Hortaleza,2020,6.39,5.94,5.55,6.75,4.54,5.65,4.7,5.56,6.66,6.94
171,"Villaverde Alto, Casco Histórico de Villaverde",17,Villaverde,2020,7.84,7.75,15.51,8.37,11.74,11.38,10.55,11.83,7.75,7.83
172,San Cristóbal,17,Villaverde,2020,8.16,7.75,5.81,8.37,11.98,11.38,17.82,11.83,8.73,7.83
173,Butarque,17,Villaverde,2020,8.45,7.75,4.95,8.37,10.17,11.38,9.22,11.83,8.39,7.83
174,Los Rosales,17,Villaverde,2020,7.33,7.75,5.79,8.37,11.3,11.38,14.29,11.83,7.67,7.83
175,Los Ángeles,17,Villaverde,2020,7.44,7.75,4.7,8.37,11.41,11.38,9.38,11.83,7.3,7.83
181,Casco Histórico de Vallecas,18,Villa de Vallecas,2020,8.86,9,5.65,5.17,12.29,11.69,8.34,7.23,8.15,7.06
182,Santa Eugenia,18,Villa de Vallecas,2020,9.1,9,4.78,5.17,10.8,11.69,6.23,7.23,7.39,7.06
183,Ensanche de Vallecas,18,Villa de Vallecas,2020,9.05,9,4.98,5.17,11.63,11.69,6.83,7.23,6.04,7.06
191,Casco histórico de Vicálvaro,19,Vicálvaro,2020,8.31,8.6,4.07,4.84,8.98,8.22,8.06,9.33,7.96,6.57
192,Valdebernardo,19,Vicálvaro,2020,7.44,8.6,4.03,4.84,7.02,8.22,11.29,9.33,6.23,6.57
193,Valderrivas,19,Vicálvaro,2020,10.69,8.6,6.66,4.84,8.1,8.22,9.76,9.33,4.57,6.57
194,El Cañaveral,19,Vicálvaro,2020,7.65,8.6,6,4.84,7.69,8.22,9.71,9.33,5.56,6.57
201,Simancas,20,San Blas - Canillejas,2020,9.04,7.26,4.74,5.22,9.79,8.81,7.73,8.49,7.03,6.65
202,Hellín,20,San Blas - Canillejas,2020,6.85,7.26,5.26,5.22,8.97,8.81,12.49,8.49,8.21,6.65
203,Amposta,20,San Blas - Canillejas,2020,8.98,7.26,4.04,5.22,11.08,8.81,13.53,8.49,8.38,6.65
204,Arcos,20,San Blas - Canillejas,2020,6.51,7.26,5.06,5.22,8.61,8.81,12.04,8.49,6.1,6.65
205,Rosas,20,San Blas - Canillejas,2020,6.24,7.26,5.19,5.22,9.03,8.81,6.16,8.49,5.68,6.65
206,Rejas,20,San Blas - Canillejas,2020,7.43,7.26,4.76,5.22,6.68,8.81,7.25,8.49,6.97,6.65
207,Canillejas,20,San Blas - Canillejas,2020,6.36,7.26,6.71,5.22,8.34,8.81,7.44,8.49,6.15,6.65
208,Salvador,20,San Blas - Canillejas,2020,8.38,7.26,4.61,5.22,8.7,8.81,6.17,8.49,7.77,6.65
211,Alameda de Osuna,21,Barajas,2020,6.94,7.49,4.55,4.51,3.5,4.55,7.71,6.81,6.31,7.4
212,Aeropuerto,21,Barajas,2020,10.02,7.49,2.96,4.51,7.67,4.55,5.56,6.81,15.69,7.4
213,Casco Histórico de Barajas,21,Barajas,2020,6.94,7.49,6.73,4.51,5.08,4.55,8.98,6.81,6.33,7.4
214,Timón,21,Barajas,2020,7.77,7.49,4.24,4.51,5.95,4.55,4.08,6.81,6.39,7.4
215,Corralejos,21,Barajas,2020,8.31,7.49,3.17,4.51,3.47,4.55,7.5,6.81,10.98,7.4
