Código barrio,Nombre barrio,Codigo distrito,Nombre distrito,Fecha datos,Índice de Vulnerabilidad Bienestar Social e Igualdad,Índice de Vulnerabilidad Bienestar Social e Igualdad - media distrito,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad - media distrito,Índice de Vulnerabilidad Educación y Cultura,Índice de Vulnerabilidad Educación y Cultura - media distrito,Índice de Vulnerabilidad Economía y Empleo,Índice de Vulnerabilidad Economía y Empleo - media distrito,Índice de Vulnerabilidad Salud,Índice de Vulnerabilidad Salud - media distrito
123,San Fermín,12,Usera,2021,8.65,8.68,5.03,6.1,12.09,12.36,13,12.63,7.81,7.85
124,Almendrales,12,Usera,2021,8.21,8.68,8.05,6.1,11.86,12.36,13.17,12.63,6.78,7.85
125,Moscardó,12,Usera,2021,10.38,8.68,6.84,6.1,11.57,12.36,12.36,12.63,7.15,7.85
126,Zofío,12,Usera,2021,8.64,8.68,6.35,6.1,14.08,12.36,12.91,12.63,7.92,7.85
127,Pradolongo,12,Usera,2021,8,8.68,5.84,6.1,12.51,12.36,14.28,12.63,10.21,7.85
131,Entrevías,13,Puente de Vallecas,2021,10.43,10.91,4.76,5.98,12.44,12.39,13.72,12.76,8.25,7.31
132,San Diego,13,Puente de Vallecas,2021,12.89,10.91,8.94,5.98,11.01,12.39,15.23,12.76,6.97,7.31
133,Palomeras Bajas,13,Puente de Vallecas,2021,10.29,10.91,5.88,5.98,12.87,12.39,11.46,12.76,6.46,7.31
134,Palomeras Sureste,13,Puente de Vallecas,2021,10.45,10.91,5,5.98,13.53,12.39,10.63,12.76,7.36,7.31
135,Portazgo,13,Puente de Vallecas,2021,10.43,10.91,5.36,5.98,14.07,12.39,12.35,12.76,7.43,7.31
136,Numancia,13,Puente de Vallecas,2021,10.63,10.91,5.49,5.98,11.23,12.39,12.98,12.76,7.53,7.31
141,Pavones,14,Moratalaz,2021,8.55,9.28,3.37,4.7,9.32,9.92,8.3,8.15,6.48,6.5
142,Horcajo,14,Moratalaz,2021,10.76,9.28,5.07,4.7,9.99,9.92,8.43,8.15,5.55,6.5
143,Marroquina,14,Moratalaz,2021,8.71,9.28,3.96,4.7,10.41,9.92,7.26,8.15,5.86,6.5
144,Media Legua,14,Moratalaz,2021,8.64,9.28,5.24,4.7,8.97,9.92,9.02,8.15,6.26,6.5
145,Fontarrón,14,Moratalaz,2021,11,9.28,4.38,4.7,11.22,9.92,8.84,8.15,8.85,6.5
146,Vinateros,14,Moratalaz,2021,8.9,9.28,6.17,4.7,9.09,9.92,7.76,8.15,5.72,6.5
151,Ventas,15,Ciudad Lineal,2021,5.9,6.18,6.81,7.43,6.34,6.16,7.79,7.34,6.97,6.7
152,Pueblo Nuevo,15,Ciudad Lineal,2021,5.74,6.18,7.56,7.43,6.53,6.16,8.17,7.34,6.18,6.7
153,Quintana,15,Ciudad Lineal,2021,6.2,6.18,12.09,7.43,5.87,6.16,8.41,7.34,6.76,6.7
154,Concepción,15,Ciudad Lineal,2021,6.29,6.18,6.37,7.43,5.54,6.16,7.24,7.34,6.94,6.7
155,San Pascual,15,Ciudad Lineal,2021,6.21,6.18,6.44,7.43,7.82,6.16,6.18,7.34,8.54,6.7
156,San Juan Bautista,15,Ciudad Lineal,2021,8.1,6.18,6,7.43,4.84,6.16,5.59,7.34,6.49,6.7
157,Colina,15,Ciudad Lineal,2021,8.9,6.18,6.03,7.43,6.86,6.16,6.15,7.34,6.74,6.7
158,Atalaya,15,Ciudad Lineal,2021,8.28,6.18,4.12,7.43,6.51,6.16,5.78,7.34,7.23,6.7
159,Costillares,15,Ciudad Lineal,2021,5.92,6.18,6.42,7.43,4.76,6.16,5.2,7.34,5.87,6.7
161,Palomas,16,Hortaleza,2021,7.36,5.54,5.47,6.41,6.35,5.6,5.69,5.76,8.1,7.68
162,Piovera,16,Hortaleza,2021,7.08,5.54,6.86,6.41,6.49,5.6,5.55,5.76,7.8,7.68
163,Canillas,16,Hortaleza,2021,4.84,5.54,6.74,6.41,6.07,5.6,5.39,5.76,8.55,7.68
164,Pinar del Rey,16,Hortaleza,2021,5.11,5.54,6.91,6.41,6.3,5.6,6.45,5.76,7.42,7.68
165,Apostol Santiago,16,Hortaleza,2021,5.12,5.54,7.84,6.41,5.71,5.6,6.58,5.76,8.63,7.68
166,Valdefuentes,16,Hortaleza,2021,5.84,5.54,5.49,6.41,4.49,5.6,5.32,5.76,7.08,7.68
171,"Villaverde Alto, Casco Histórico de Villaverde",17,Villaverde,2021,7.76,7.68,4.68,5.16,11.14,10.77,12.58,12.05,7.17,7.3
172,San Cristóbal,17,Villaverde,2021,7.99,7.68,5.63,5.16,11.38,10.77,17.5,12.05,8.83,7.3
173,Butarque,17,Villaverde,2021,8.19,7.68,4.99,5.16,9.6,10.77,10.27,12.05,7.46,7.3
174,Los Rosales,17,Villaverde,2021,7.5,7.68,5.48,5.16,10.71,10.77,11.33,12.05,6.89,7.3
175,Los Ángeles,17,Villaverde,2021,7.31,7.68,5.32,5.16,10.74,10.77,10.48,12.05,7.08,7.3
181,Casco Histórico de Vallecas,18,Villa de Vallecas,2021,8.56,8.58,6.21,5.61,11.63,11.04,11.27,9.33,8.08,6.95
182,Santa Eugenia,18,Villa de Vallecas,2021,7.84,8.58,5.34,5.61,10.13,11.04,7.62,9.33,7.11,6.95
183,Ensanche de Vallecas,18,Villa de Vallecas,2021,8.93,8.58,5.28,5.61,11,11.04,8.64,9.33,6.02,6.95
191,Casco histórico de Vicálvaro,19,Vicálvaro,2021,7.9,8.26,4.28,5.25,10.58,9.82,10.61,8.45,8.61,7.28
192,Valdebernardo,19,Vicálvaro,2021,7.13,8.26,4.19,5.25,8.66,9.82,8.45,8.45,6.53,7.28
193,Valderrivas,19,Vicálvaro,2021,10.71,8.26,6.94,5.25,9.75,9.82,5.79,8.45,6.13,7.28
194,El Cañaveral,19,Vicálvaro,2021,7.22,8.26,7.38,5.25,9.28,9.82,5.7,8.45,5.98,7.28
201,Simancas,20,San Blas - Canillejas,2021,8.8,7.02,5.46,5.24,9.44,8.45,8.83,8.05,6.48,6.55
202,Hellín,20,San Blas - Canillejas,2021,6.66,7.02,4.82,5.24,8.56,8.45,9.37,8.05,8.83,6.55
203,Amposta,20,San Blas - Canillejas,2021,8.74,7.02,3.94,5.24,10.72,8.45,11.19,8.05,7.45,6.55
204,Arcos,20,San Blas - Canillejas,2021,6.13,7.02,5.14,5.24,8.23,8.45,8.58,8.05,6.92,6.55
205,Rosas,20,San Blas - Canillejas,2021,5.85,7.02,5.3,5.24,8.73,8.45,6.07,8.05,5.39,6.55
206,Rejas,20,San Blas - Canillejas,2021,7.33,7.02,4.24,5.24,6.31,8.45,7.98,8.05,6.97,6.55
207,Canillejas,20,San Blas - Canillejas,2021,6.2,7.02,6.24,5.24,7.96,8.45,8.3,8.05,5.88,6.55
208,Salvador,20,San Blas - Canillejas,2021,8.27,7.02,5.14,5.24,8.35,8.45,6.13,8.05,7.5,6.55
211,Alameda de Osuna,21,Barajas,2021,6.39,6.95,5.1,4.87,2.49,3.52,4.29,5.09,6.97,7.93
212,Aeropuerto,21,Barajas,2021,9.02,6.95,3.06,4.87,6.74,3.52,8.31,5.09,15.91,7.93
213,Casco Histórico de Barajas,21,Barajas,2021,6.67,6.95,6.87,4.87,4.04,3.52,6.52,5.09,7.45,7.93
214,Timón,21,Barajas,2021,7.46,6.95,4.49,4.87,5.09,3.52,5.74,5.09,7.72,7.93
215,Corralejos,21,Barajas,2021,7.36,6.95,3.35,4.87,2.43,3.52,3.93,5.09,9.3,7.93
