price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
380000,planta 4,exterior,4,98.0,1,0,Chopera,arganzuela
515000,planta 1,exterior,4,131.0,1,0,Chopera,arganzuela
223000,planta 3,interior,2,54.0,1,0,Acacias,arganzuela
278000,planta 1,,3,73.0,1,0,Chopera,arganzuela
315000,planta 2,interior,3,72.0,1,0,Delicias,arganzuela
225000,planta 1,interior,1,40.0,1,0,Delicias,arganzuela
162500,bajo,exterior,3,53.0,1,0,Chopera,arganzuela
285000,planta 5,interior,3,74.0,1,0,Acacias,arganzuela
295000,planta 4,exterior,1,79.0,1,0,Legazpi,arganzuela
525000,planta 4,exterior,4,126.0,1,0,Palos de Moguer,arganzuela
315000,planta 1,exterior,3,85.0,1,0,Delicias,arganzuela
599000,planta 6,exterior,3,72.0,1,0,Delicias,arganzuela
440000,planta 2,exterior,5,139.0,1,0,Imperial,arganzuela
219000,planta 4,,2,58.0,1,0,Chopera,arganzuela
295000,planta 4,interior,2,60.0,1,0,Palos de Moguer,arganzuela
800000,planta 1,exterior,4,140.0,1,0,Acacias,arganzuela
443000,planta 8,exterior,3,108.0,1,0,Acacias,arganzuela
364000,planta 3,interior,3,90.0,1,0,Palos de Moguer,arganzuela
700000,planta 4,exterior,3,114.0,1,0,Acacias,arganzuela
430000,planta 5,exterior,4,108.0,1,0,Palos de Moguer,arganzuela
375000,planta 6,exterior,3,84.0,1,0,Chopera,arganzuela
260000,planta 1,exterior,1,46.0,1,0,Acacias,arganzuela
203000,bajo,interior,2,52.0,1,0,Delicias,arganzuela
396000,planta 1,exterior,2,78.0,1,0,Acacias,arganzuela
450000,planta 1,exterior,3,120.0,1,0,Palos de Moguer,arganzuela
295000,planta 1,exterior,3,76.0,1,0,Imperial,arganzuela
399000,planta 2,interior,3,90.0,1,0,Delicias,arganzuela
295000,planta 3,exterior,2,71.0,1,0,Imperial,arganzuela
675000,planta 6,exterior,4,180.0,1,0,Delicias,arganzuela
310000,bajo,exterior,1,74.0,1,0,Legazpi,arganzuela
465000,planta 3,exterior,4,120.0,1,0,Chopera,arganzuela
275000,bajo,exterior,2,123.0,1,0,Acacias,arganzuela
370000,planta 1,exterior,1,79.0,1,0,Imperial,arganzuela
460000,planta 2,exterior,4,150.0,1,0,Delicias,arganzuela
249000,planta 5,interior,2,60.0,1,0,Palos de Moguer,arganzuela
479000,planta 2,exterior,4,113.0,1,0,Imperial,arganzuela
175000,planta 2,interior,2,45.0,1,0,Delicias,arganzuela
460000,planta 1,exterior,5,120.0,1,0,Delicias,arganzuela
420000,planta 1,exterior,1,92.0,1,0,Legazpi,arganzuela
565000,planta 3,exterior,3,102.0,1,0,Palos de Moguer,arganzuela
175000,planta 3,interior,2,37.0,1,0,Acacias,arganzuela
