sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price_by_area,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_year,neighbourhood,district,house_type
87.0,3,1.0,1,two,0.0,521,1103,1,0.0,,,1,0,0.0,1.0,E,0,,,,,,Los Rosales 133,Villaverde 21,Apartment
60.0,2,1.0,1,,,758,2567,0,0.0,,,1,1,0.0,1.0,A,0,0.0,0.0,1.0,0.0,,San Andrés 134,Villaverde 21,Apartment
78.0,4,1.0,1,two,0.0,731,1881,0,,,,0,1,1.0,1.0,G,0,0.0,0.0,1.0,0.0,,Los Ángeles 132,Villaverde 21,Apartment
52.0,1,1.0,1,one,0.0,505,1779,0,,0.0,1.0,1,0,0.0,,G,0,,,,,,Los Rosales 133,Villaverde 21,Apartment
125.0,3,3.0,1,seven,0.0,1135,2200,0,0.0,,,1,0,1.0,1.0,D,0,,,,,2004.0,Butarque 131,Villaverde 21,Duplex
75.0,0,1.0,1,one,0.0,465,1117,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,0,1.0,1.0,1.0,1.0,2008.0,San Andrés 134,Villaverde 21,Studio
97.0,2,2.0,0,zero,1.0,1111,2744,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
93.0,2,2.0,0,seven,0.0,1004,2455,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
103.0,4,2.0,1,one,0.0,823,1669,0,0.0,,,0,0,1.0,1.0,in process,0,,,,,,Los Ángeles 132,Villaverde 21,Apartment
83.0,2,2.0,1,seven,0.0,1004,2750,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,,,,,2020.0,Butarque 131,Villaverde 21,Penthouse
