,Area,rooms,floor,price,elevator,exterior,district
137,126.0,3,2.0,294900,True,True,villaverde
138,134.0,4,1.0,319900,True,True,villaverde
139,111.0,3,1.0,259900,True,True,villaverde
140,122.0,3,2.0,285900,True,True,villaverde
141,125.0,3,1.0,289900,True,True,villaverde
142,102.0,2,1.0,249900,True,True,villaverde
143,104.0,3,1.0,273352,True,True,villaverde
144,66.0,3,1.0,104900,True,True,villaverde
145,95.0,2,2.0,155000,False,True,villaverde
146,74.0,3,1.0,100000,False,True,villaverde
147,97.0,2,0.0,210000,True,True,villaverde
148,90.0,2,7.0,240000,True,True,villaverde
149,130.0,4,3.0,257000,True,True,villaverde
150,49.0,2,0.0,84000,True,True,villaverde
152,69.0,3,4.0,107000,False,True,villaverde
154,98.0,3,7.0,284900,True,True,villaverde
155,50.0,1,7.0,135000,True,True,villaverde
156,136.0,3,5.0,230000,True,True,villaverde
157,80.0,3,3.0,163000,True,True,villaverde
158,95.0,3,2.0,185000,False,True,villaverde
159,56.0,3,5.0,80000,False,True,villaverde
160,43.0,1,0.0,84000,False,True,villaverde
161,72.0,3,3.0,119900,True,True,villaverde
162,100.0,4,1.0,154900,True,True,villaverde
163,70.0,3,4.0,119900,True,True,villaverde
164,60.0,2,0.0,79900,False,True,villaverde
165,60.0,2,2.0,79900,False,True,villaverde
166,91.0,3,3.0,129900,False,True,villaverde
167,74.0,3,2.0,99900,False,True,villaverde
168,110.0,3,5.0,275000,True,True,villaverde
169,83.0,3,3.0,91500,False,True,villaverde
170,65.0,2,0.5,86860,False,True,villaverde
171,58.0,3,3.0,105000,False,True,villaverde
172,115.0,3,6.0,216000,True,True,villaverde
173,82.0,3,4.0,120000,False,True,villaverde
174,83.0,3,0.0,135000,True,True,villaverde
175,90.0,2,0.0,212000,True,True,villaverde
176,95.0,2,5.0,184000,True,True,villaverde
177,89.0,3,0.0,160000,False,True,villaverde
179,59.0,2,2.0,117000,False,True,villaverde
180,100.0,4,0.0,165000,True,True,villaverde
181,68.0,3,4.0,95000,False,True,villaverde
182,50.0,2,2.0,106000,False,True,villaverde
183,114.0,4,2.0,229000,True,True,villaverde
184,81.0,3,3.0,155000,True,True,villaverde
185,91.0,2,5.0,228208,True,True,villaverde
186,95.0,3,3.0,100000,False,True,villaverde
187,80.0,3,0.0,140000,False,True,villaverde
188,80.0,3,3.0,165000,True,True,villaverde
189,60.0,2,5.0,73000,True,True,villaverde
190,50.0,1,6.0,159000,True,True,villaverde
191,136.0,3,1.0,135990,False,True,villaverde
192,96.0,2,7.0,210000,True,True,villaverde
193,71.0,2,2.0,198000,True,True,villaverde
194,74.0,2,1.0,139900,False,True,villaverde
195,65.0,2,2.0,110000,False,True,villaverde
196,93.0,3,9.0,160000,True,True,villaverde
197,75.0,3,2.0,103000,False,True,villaverde
198,63.0,3,0.5,100000,False,False,villaverde
199,63.0,2,2.0,82260,True,True,villaverde
200,72.0,3,6.0,139400,True,True,villaverde
201,100.0,2,0.0,154900,True,True,villaverde
202,90.0,3,3.0,155000,True,True,villaverde
203,66.0,3,2.0,88000,False,True,villaverde
204,102.0,3,5.0,225000,True,True,villaverde
205,105.0,2,6.0,189000,True,True,villaverde
206,95.0,4,4.0,138000,False,True,villaverde
207,120.0,3,2.0,195000,True,True,villaverde
208,90.0,3,4.0,222000,True,True,villaverde
209,64.0,3,0.0,80500,False,True,villaverde
210,80.0,3,3.0,182000,True,True,villaverde
211,120.0,3,2.0,295000,False,True,villaverde
212,82.0,2,6.0,270000,True,True,villaverde
213,81.0,3,3.0,116100,False,True,villaverde
214,103.0,3,4.0,250000,True,True,villaverde
215,63.0,3,4.0,79900,False,True,villaverde
216,70.0,3,3.0,99000,True,True,villaverde
217,45.0,2,3.0,105000,False,True,villaverde
218,95.0,3,2.0,130000,False,True,villaverde
219,70.0,3,2.0,120000,False,True,villaverde
220,71.0,3,1.0,149000,True,True,villaverde
221,70.0,3,3.0,135000,True,True,villaverde
222,98.0,4,0.0,230000,True,True,villaverde
223,55.0,3,2.0,91000,False,True,villaverde
224,115.0,4,1.0,184900,False,True,villaverde
225,68.0,3,4.0,83900,False,True,villaverde
226,120.0,3,2.0,180000,False,True,villaverde
227,64.0,3,1.0,76000,False,True,villaverde
228,92.0,4,5.0,163000,True,True,villaverde
230,105.0,3,0.0,180000,False,True,villaverde
231,70.0,2,0.0,128000,False,True,villaverde
232,93.0,3,2.0,166200,True,True,villaverde
233,86.0,3,4.0,129000,True,False,villaverde
234,75.0,3,1.0,132000,False,True,villaverde
235,85.0,3,0.0,135000,False,True,villaverde
236,65.0,2,0.0,99000,False,True,villaverde
237,68.0,3,2.0,88000,False,True,villaverde
238,75.0,3,5.0,110000,False,False,villaverde
239,83.0,2,1.0,146000,True,True,villaverde
240,95.0,3,0.0,112000,False,False,villaverde
241,30.0,1,0.0,59000,False,True,villaverde
242,53.0,1,6.0,146000,True,True,villaverde
244,66.0,2,2.0,96000,False,True,villaverde
245,63.0,3,4.0,82000,False,True,villaverde
246,95.0,3,0.0,199000,False,True,villaverde
247,65.0,2,2.0,232000,True,True,villaverde
248,69.0,2,1.0,240000,True,True,villaverde
249,90.0,3,4.0,172000,True,True,villaverde
250,60.0,3,2.0,82260,True,True,villaverde
251,65.0,2,0.0,109000,True,True,villaverde
252,115.0,4,1.0,133000,True,True,villaverde
253,83.0,3,1.0,111000,True,True,villaverde
254,55.0,2,2.0,110000,False,True,villaverde
255,80.0,2,1.0,179990,True,True,villaverde
256,68.0,3,1.0,156000,False,True,villaverde
257,89.0,2,1.0,228000,True,True,villaverde
258,61.0,3,4.0,89000,False,True,villaverde
259,68.0,3,2.0,94000,False,True,villaverde
260,92.0,3,4.0,175000,True,True,villaverde
261,70.0,3,2.0,90000,False,True,villaverde
262,63.0,3,1.0,167000,True,True,villaverde
263,57.0,3,5.0,96000,False,True,villaverde
264,63.0,3,3.0,84000,False,True,villaverde
265,80.0,3,1.0,95000,False,True,villaverde
266,61.0,3,4.0,100000,False,True,villaverde
267,85.0,3,1.0,154900,False,True,villaverde
268,80.0,2,3.0,115000,True,True,villaverde
269,55.0,2,3.0,96000,False,True,villaverde
270,60.0,0,0.0,85000,False,True,villaverde
271,60.0,2,3.0,95000,False,True,villaverde
272,55.0,3,1.0,78000,False,True,villaverde
273,93.0,3,0.0,128500,False,True,villaverde
274,55.0,2,0.0,95000,False,True,villaverde
275,82.0,3,3.0,83900,False,True,villaverde
276,53.0,2,1.0,96000,False,True,villaverde
277,58.0,2,1.0,118000,False,True,villaverde
278,70.0,2,1.0,202000,True,True,villaverde
279,50.0,2,3.0,105000,False,True,villaverde
280,103.0,3,7.0,265000,True,True,villaverde
281,90.0,3,1.0,290000,True,True,villaverde
282,66.0,2,3.0,90000,False,True,villaverde
283,70.0,2,0.0,75000,False,True,villaverde
284,60.0,2,2.0,125000,False,True,villaverde
285,101.0,2,6.0,255000,True,True,villaverde
286,55.0,2,3.0,96600,False,True,villaverde
287,77.0,3,3.0,119000,False,True,villaverde
288,56.0,3,1.0,100000,True,True,villaverde
289,72.0,3,0.5,95000,True,True,villaverde
290,70.0,3,3.0,135000,False,True,villaverde
291,75.0,2,0.0,195000,False,True,villaverde
292,120.0,3,1.0,195000,False,True,villaverde
293,91.0,2,1.0,215000,True,True,villaverde
294,95.0,2,2.0,122000,False,True,villaverde
295,61.0,3,1.0,125000,False,True,villaverde
296,73.0,2,1.0,120000,False,True,villaverde
297,66.0,3,1.0,93000,False,True,villaverde
298,68.0,2,4.0,125000,False,True,villaverde
299,70.0,3,3.0,104840,False,True,villaverde
300,56.0,3,1.0,105000,True,True,villaverde
301,100.0,4,1.0,165000,True,True,villaverde
302,125.0,4,0.5,173000,True,True,villaverde
303,54.0,3,0.0,71000,False,True,villaverde
304,130.0,4,2.0,168000,True,True,villaverde
305,68.0,2,0.5,99900,False,True,villaverde
306,85.0,3,3.0,128000,False,True,villaverde
307,75.0,3,3.0,120000,False,True,villaverde
308,80.0,2,1.0,95000,False,True,villaverde
309,69.0,4,3.0,85900,False,True,villaverde
310,70.0,3,2.0,142500,False,False,villaverde
311,56.0,2,4.0,109000,False,True,villaverde
312,90.0,2,4.0,140000,False,True,villaverde
313,71.0,2,1.0,120000,False,True,villaverde
314,76.0,3,2.0,110000,True,True,villaverde
315,114.0,4,2.0,299000,True,True,villaverde
316,90.0,3,3.0,180000,True,True,villaverde
317,70.0,3,1.0,85000,False,True,villaverde
318,80.0,3,0.0,100000,False,True,villaverde
319,96.0,4,7.0,170000,True,True,villaverde
320,50.0,1,2.0,125000,True,True,villaverde
321,85.0,3,1.0,230000,True,True,villaverde
322,90.0,3,5.0,300000,True,True,villaverde
323,60.0,3,0.5,120000,True,True,villaverde
324,60.0,3,4.0,140000,False,True,villaverde
325,105.0,3,2.0,135000,False,True,villaverde
327,112.0,3,1.0,230000,False,True,villaverde
328,60.0,3,4.0,145000,False,True,villaverde
329,62.0,2,2.0,142450,False,True,villaverde
330,81.0,3,3.0,160000,True,True,villaverde
331,75.0,3,3.0,180000,False,True,villaverde
332,72.0,3,2.0,130000,True,True,villaverde
333,95.0,2,3.0,250000,True,True,villaverde
334,49.0,1,2.0,190000,True,True,villaverde
335,90.0,3,2.0,169000,False,True,villaverde
336,78.0,2,3.0,168000,False,True,villaverde
337,100.0,3,3.0,210000,False,True,villaverde
338,70.0,3,1.0,95000,True,True,villaverde
339,56.0,3,1.0,78000,False,True,villaverde
340,110.0,3,2.0,189000,True,True,villaverde
341,115.0,3,3.0,245000,True,True,villaverde
342,70.0,3,2.0,97000,False,True,villaverde
343,75.0,3,4.0,155000,True,True,villaverde
344,116.0,4,0.5,170000,True,True,villaverde
345,48.0,2,4.0,120000,True,True,villaverde
346,80.0,3,0.0,125000,False,True,villaverde
347,81.0,3,2.0,139500,False,True,villaverde
348,95.0,4,7.0,198000,True,True,villaverde
349,60.0,4,5.0,75000,False,True,villaverde
350,50.0,2,3.0,123000,True,True,villaverde
351,50.0,1,6.0,148000,True,True,villaverde
352,50.0,2,2.0,140000,False,True,villaverde
353,94.0,4,1.0,190000,True,True,villaverde
354,80.0,3,1.0,150000,False,True,villaverde
355,65.0,2,0.0,110000,False,True,villaverde
356,105.0,3,2.0,190000,True,True,villaverde
357,100.0,3,0.0,142000,True,True,villaverde
358,64.0,3,1.0,95000,False,True,villaverde
359,85.0,2,2.0,229000,True,True,villaverde
360,72.0,3,2.0,140000,False,True,villaverde
361,92.0,3,0.0,119000,True,True,villaverde
362,106.0,3,1.0,145000,True,True,villaverde
363,67.0,2,5.0,115000,False,True,villaverde
364,60.0,2,0.0,150000,False,True,villaverde
365,60.0,2,1.0,120000,False,True,villaverde
366,60.0,3,1.0,105000,False,True,villaverde
367,61.0,3,1.0,108000,True,True,villaverde
368,115.0,3,4.0,147000,True,True,villaverde
369,55.0,2,3.0,95000,False,True,villaverde
370,65.0,3,0.5,99500,True,True,villaverde
371,118.0,3,0.0,179000,True,True,villaverde
372,80.0,3,3.0,100000,False,True,villaverde
374,108.0,4,2.0,156000,False,True,villaverde
375,133.0,4,6.0,280000,True,True,villaverde
376,90.0,3,5.0,139000,True,True,villaverde
377,63.0,2,1.0,102000,False,True,villaverde
378,115.0,3,4.0,148000,True,True,villaverde
379,70.0,3,4.0,95000,False,True,villaverde
380,71.0,3,5.0,100000,True,True,villaverde
381,70.0,3,5.0,97000,False,True,villaverde
382,100.0,3,4.0,179000,True,True,villaverde
383,63.0,3,5.0,119000,False,True,villaverde
384,105.0,3,5.0,260000,True,True,villaverde
385,93.0,2,1.0,210000,True,True,villaverde
386,80.0,2,1.0,250000,True,True,villaverde
387,54.0,2,3.0,148000,False,True,villaverde
388,64.0,2,0.0,99000,False,True,villaverde
389,68.0,3,1.0,88000,False,True,villaverde
390,100.0,3,5.0,299995,True,True,villaverde
391,62.0,2,2.0,148000,False,True,villaverde
392,78.0,3,1.0,127000,True,False,villaverde
393,83.0,3,3.0,155000,False,True,villaverde
394,68.0,3,2.0,97000,False,True,villaverde
395,66.0,2,0.5,95000,False,True,villaverde
396,65.0,3,3.0,110000,False,True,villaverde
397,65.0,2,8.0,125000,True,True,villaverde
398,70.0,2,0.0,196000,False,True,villaverde
399,49.0,2,0.0,120000,False,True,villaverde
400,100.0,3,4.0,210000,True,True,villaverde
401,90.0,4,0.0,230000,True,True,villaverde
402,65.0,3,0.5,107583,False,True,villaverde
403,68.0,2,8.0,120000,True,True,villaverde
404,90.0,3,1.0,140000,False,True,villaverde
405,55.0,2,0.0,135000,True,True,villaverde
406,70.0,2,3.0,126000,False,True,villaverde
407,123.0,4,3.0,220000,False,True,villaverde
408,74.0,2,2.0,198000,True,True,villaverde
409,64.0,2,2.0,150000,False,True,villaverde
410,80.0,3,0.0,160000,True,True,villaverde
411,113.0,3,1.0,359900,True,True,villaverde
412,89.0,3,4.0,174000,True,True,villaverde
413,109.0,3,1.0,185000,False,True,villaverde
414,120.0,3,4.0,180000,False,True,villaverde
415,101.0,2,0.0,245000,True,True,villaverde
416,75.0,2,3.0,146000,False,True,villaverde
417,52.0,2,4.0,85000,True,True,villaverde
418,75.0,3,0.5,139900,False,True,villaverde
419,75.0,3,4.0,113000,False,True,villaverde
420,30.0,1,0.0,72000,False,True,villaverde
421,54.0,3,3.0,91957,False,True,villaverde
422,65.0,3,3.0,109900,False,True,villaverde
423,65.0,2,4.0,105000,False,True,villaverde
424,60.0,2,0.0,70000,False,True,villaverde
425,69.0,2,0.0,132000,False,True,villaverde
426,65.0,3,0.5,120000,True,True,villaverde
427,90.0,3,1.0,159000,False,False,villaverde
428,100.0,3,3.0,230000,True,True,villaverde
429,65.0,3,2.0,120000,False,True,villaverde
430,60.0,2,3.0,138000,False,True,villaverde
431,83.0,3,1.0,116675,False,True,villaverde
432,76.0,2,2.0,109491,True,True,villaverde
433,88.0,2,1.0,304000,True,True,villaverde
434,67.0,3,1.0,150000,False,True,villaverde
435,90.0,3,1.0,208000,True,True,villaverde
436,75.0,3,1.0,114900,True,False,villaverde
437,89.0,3,0.5,139000,True,True,villaverde
438,66.0,2,1.0,116600,True,True,villaverde
439,85.0,2,3.0,180000,True,True,villaverde
440,68.0,2,3.0,207000,True,True,villaverde
441,105.0,3,0.0,182260,False,True,villaverde
442,85.0,3,2.0,159000,False,True,villaverde
443,88.0,3,0.0,116000,False,True,villaverde
445,53.0,1,3.0,144000,True,True,villaverde
446,89.0,3,5.0,235000,True,True,villaverde
447,119.0,3,3.0,269000,True,True,villaverde
448,65.0,3,3.0,97000,False,True,villaverde
449,120.0,4,1.0,173000,True,True,villaverde
450,85.0,3,4.0,140200,False,True,villaverde
451,110.0,2,2.0,225000,True,True,villaverde
452,116.0,3,5.0,295000,True,True,villaverde
453,80.0,3,1.0,135000,False,True,villaverde
454,115.0,3,6.0,275000,True,True,villaverde
455,114.0,4,3.0,257000,True,True,villaverde
456,110.0,3,6.0,274999,True,True,villaverde
457,70.0,2,3.0,146750,True,True,villaverde
458,86.0,2,2.0,218000,True,False,villaverde
459,100.0,3,5.0,285000,True,True,villaverde
460,124.0,3,1.0,260000,True,True,villaverde
461,60.0,3,1.0,84900,False,False,villaverde
462,62.0,3,2.0,108000,False,True,villaverde
463,118.0,3,2.0,224000,False,True,villaverde
464,92.0,2,0.0,154500,True,True,villaverde
