price,house_type,house_type_2,rooms,m2,elevator,garage,neighbourhood,district
555000,Piso,exterior,4,137.0,1,0,Embajadores,Centro
700000,Piso,exterior,2,100.0,1,0,Goya,Salamanca
730000,Piso,exterior,3,135.0,1,1,Nueva España,Chamartín
670000,Piso,interior,3,114.0,1,0,Justicia,Centro
390000,Ático,exterior,2,45.0,1,0,Universidad,Centro
348000,Piso,exterior,2,94.0,1,1,El Cañaveral,Vicálvaro
139000,Piso,interior,3,63.0,1,0,Los Ángeles,Villaverde
1150000,Piso,exterior,3,147.0,1,1,Adelfas,Retiro
144000,Piso,interior,3,84.0,1,0,Los Rosales,Villaverde
510000,Piso,exterior,1,70.0,1,1,Piovera,Hortaleza
490000,Piso,exterior,1,70.0,1,1,Piovera,Hortaleza
879000,Piso,interior,2,87.0,1,0,Castellana,Salamanca
1100000,Piso,exterior,5,402.0,1,1,Guindalera,Salamanca
1390000,Dúplex,exterior,3,125.0,1,0,Justicia,Centro
230000,Piso,exterior,3,99.0,1,0,Imperial,Arganzuela
2300000,Casa,interior,5,522.0,0,1,El Plantío,Moncloa-Aravaca
900000,Piso,exterior,5,174.0,1,0,Gaztambide,Chamberí
417500,Piso,exterior,2,96.0,1,0,Valdeacederas,Tetuán
299000,Piso,interior,2,67.0,1,0,Pacífico,Retiro
1275000,Piso,interior,3,125.0,1,0,Castellana,Salamanca
480000,Piso,exterior,2,113.0,1,1,Valverde,Fuencarral-El Pardo
254000,Piso,exterior,2,62.0,1,0,Campamento,Latina
250000,Piso,exterior,2,90.0,1,1,San Diego,Puente de Vallecas
1420000,Piso,exterior,2,107.0,1,1,Universidad,Centro
4200000,Casa,interior,6,1200.0,0,1,Valdemarín,Moncloa-Aravaca
2340000,Piso,exterior,3,200.0,1,1,Castellana,Salamanca
1090000,Piso,exterior,3,132.0,1,0,Recoletos,Salamanca
405000,Piso,exterior,3,101.0,1,1,Pueblo Nuevo,Ciudad Lineal
215000,Estudio,exterior,0,38.0,1,1,Las Acacias,Arganzuela
950000,Piso,exterior,2,138.0,1,0,Hispanoamérica,Chamartín
198000,Dúplex,exterior,3,76.0,1,0,Entrevías,Puente de Vallecas
190000,Dúplex,exterior,3,77.0,1,0,Entrevías,Puente de Vallecas
270000,Piso,exterior,4,85.0,1,0,Quintana,Ciudad Lineal
275000,Piso,interior,1,60.0,1,0,Pacífico,Retiro
1538000,Casa,exterior,7,605.0,0,1,Canillas,Hortaleza
145000,Piso,exterior,2,68.0,1,0,Entrevías,Puente de Vallecas
116000,Chalet,interior,2,69.0,0,0,Entrevías,Puente de Vallecas
159000,Piso,exterior,3,102.0,1,0,Entrevías,Puente de Vallecas
299000,Piso,interior,1,37.0,1,0,Argüelles,Moncloa-Aravaca
590000,Piso,exterior,1,68.0,1,1,Almagro,Chamberí
350000,Piso,exterior,3,78.0,1,0,Pinar del Rey,Hortaleza
730000,Piso,exterior,3,125.0,1,1,Valdefuentes,Hortaleza
170000,Piso,exterior,1,41.0,1,0,San Isidro,Carabanchel
170000,Chalet,interior,3,69.0,0,0,Entrevías,Puente de Vallecas
170000,Piso,interior,2,65.0,1,0,San Diego,Puente de Vallecas
170000,Piso,exterior,2,51.0,1,0,Ventas,Ciudad Lineal
170000,Piso,exterior,3,59.0,1,0,Pavones,Moratalaz
170000,Piso,exterior,2,50.0,1,0,Comillas,Carabanchel
170000,Piso,exterior,1,40.0,1,0,Lucero,Latina
315000,Estudio,exterior,0,70.0,1,0,Las Acacias,Arganzuela
839000,Piso,exterior,2,106.0,1,0,Cortes,Centro
199000,Piso,exterior,1,53.0,1,1,Rejas,San Blas-Canillejas
900000,Piso,exterior,4,158.0,1,0,Hispanoamérica,Chamartín
1590000,Piso,exterior,3,195.0,1,0,Castellana,Salamanca
525000,Piso,exterior,4,111.0,1,0,Palacio,Centro
1200000,Piso,exterior,3,130.0,1,0,Ibiza,Retiro
650000,Dúplex,exterior,1,76.0,1,0,Cortes,Centro
139900,Piso,interior,2,36.0,1,1,Butarque,Villaverde
139990,Piso,exterior,3,65.0,1,0,San Diego,Puente de Vallecas
139990,Piso,exterior,3,61.0,1,0,Numancia,Puente de Vallecas
140000,Piso,exterior,3,60.0,1,0,Ambroz,Vicálvaro
140000,Piso,exterior,1,62.0,1,1,Lucero,Latina
140000,Piso,exterior,1,56.0,1,0,Almendrales,Usera
140000,Piso,exterior,2,60.0,1,0,San Diego,Puente de Vallecas
140000,Piso,exterior,2,60.0,1,0,San Cristóbal de los Ángeles,Villaverde
700000,Piso,exterior,5,144.0,1,1,Castilla,Chamartín
3900000,Piso,exterior,5,300.0,1,1,Recoletos,Salamanca
750000,Piso,exterior,3,168.0,1,0,Ríos Rosas,Chamberí
849000,Piso,interior,3,111.0,1,0,Justicia,Centro
259000,Piso,interior,1,71.0,1,0,Embajadores,Centro
319000,Ático,exterior,2,80.0,1,0,Valdeacederas,Tetuán
230000,Piso,exterior,1,73.0,1,1,Butarque,Villaverde
3860000,Piso,exterior,5,410.0,1,1,Recoletos,Salamanca
1550000,Piso,exterior,2,124.0,1,1,Recoletos,Salamanca
4650000,Piso,exterior,3,373.0,1,1,Castellana,Salamanca
1370000,Piso,exterior,3,110.0,1,0,Argüelles,Moncloa-Aravaca
2800000,Ático,exterior,4,225.0,1,0,Lista,Salamanca
3600000,Piso,exterior,3,290.0,1,0,Almagro,Chamberí
127000,Piso,exterior,2,60.0,1,0,San Isidro,Carabanchel
127000,Piso,exterior,2,60.0,1,0,Arcos,San Blas-Canillejas
127000,Piso,exterior,2,60.0,1,0,San Cristóbal de los Ángeles,Villaverde
290000,Piso,exterior,3,137.0,1,1,San Fermín,Usera
180000,Piso,interior,2,85.0,1,0,Palomeras Sureste,Puente de Vallecas
180000,Piso,exterior,3,85.0,1,0,San Isidro,Carabanchel
89000,Piso,interior,1,42.0,1,0,Palomeras Bajas,Puente de Vallecas
1225000,Casa,interior,4,578.0,0,0,Valverde,Fuencarral-El Pardo
129500,Piso,interior,2,61.0,1,0,Vista Alegre,Carabanchel
2800000,Piso,exterior,4,255.0,1,0,Justicia,Centro
1195000,Ático,exterior,2,134.0,1,0,Cortes,Centro
