location,id,n_bedrooms,n_bathrooms,HouseType,sq_mt_built,buy_price,built_year,has_storage_room,has_parking,has_terrace,has_fitted_wardrobes
"Delicias, Madrid city",VM2406022,3.0,2.0,Flat,150.0,"1,500,000",,0,1,1,1
"Somosaguas, Madrid Noroeste",VMO2406003,5.0,5.0,House,331.0,"1,250,000",,0,0,1,0
"Goya, Madrid city",VM2406007,2.0,2.0,Flat,112.0,"935,000",,0,0,0,1
"Lavapiés, Madrid city",VM2406008,4.0,2.0,Flat,99.0,"535,000",,0,0,0,0
"Monte Alina, Madrid Noroeste",VMO2406002,6.0,6.0,House,818.0,"3,500,000",,0,1,0,0
"Recoletos, Madrid city",VM2406009,3.0,5.0,Flat,305.0,"3,875,000",,1,1,1,0
"Trafalgar, Madrid city",VM2406010,,1.0,Flat,70.0,"385,000",,0,1,0,0
"Recoletos, Madrid city",VM2406011,2.0,2.0,Flat,114.0,"1,830,000",,1,1,0,1
"Castellana, Madrid city",VM2406013,3.0,4.0,Flat,149.0,"1,419,000",,0,0,0,0
"Arapiles, Madrid city",VM2406004,1.0,1.0,Flat,40.0,"260,000",,0,0,0,1
"Hispanoamérica, Madrid city",VM2406001,2.0,1.0,Flat,92.0,"490,000",,1,0,0,0
"Encinar de los Reyes, Madrid Norte",VMN2406001,3.0,3.0,House,233.0,"1,195,000",,1,1,1,0
"Recoletos, Madrid city",VM2406012,3.0,4.0,Flat,239.0,"4,900,000",,1,1,0,0
"Hispanoamérica, Madrid city",VM2405081,1.0,1.0,Flat,55.0,"425,000",,0,0,0,1
"Golf, Madrid Noroeste",VMO2405008,3.0,2.0,Flat,142.0,"725,000",,1,1,0,0
"Nueva España, Madrid city",VM2405082,4.0,5.0,Flat,212.0,"1,780,000",,0,0,1,0
"Encinar de los Reyes, Madrid Norte",VMN2405004,4.0,5.0,House,250.0,"1,580,000",,0,1,1,0
"Punta Galea, Madrid Noroeste",VMO2406009,4.0,4.0,House,300.0,"865,000",,1,1,0,1
"Cortes, Madrid city",VM2405074,3.0,3.0,Flat,124.0,"690,000",,0,0,0,0
"Somosaguas, Madrid Noroeste",VMO2405006,4.0,5.0,Flat,311.0,"2,350,000",,1,1,1,0
"Lista, Madrid city",VM2405076,3.0,2.0,Flat,146.0,"1,350,000",,0,0,0,1
"Universidad, Madrid city",VM2405078,4.0,5.0,Flat,211.0,"1,519,000",,0,0,0,0
"Justicia, Madrid city",VM2405079,3.0,2.0,Flat,150.0,"1,700,000",,0,0,0,0
"Almagro, Madrid city",VM2405080,2.0,2.0,Flat,110.0,"1,290,000",,0,0,0,0
"Castilla, Madrid city",VM2405069,3.0,2.0,Flat,155.0,"950,000",,0,0,1,0
"Ibiza, Madrid city",VM2405070,3.0,4.0,Flat,166.0,"1,990,000",,0,0,1,1
"Cuzco, Madrid city",VM2405066,6.0,2.0,Flat,243.0,"1,432,000",,0,0,1,1
"Lista, Madrid city",VM2405067,3.0,4.0,Flat,204.0,"2,250,000",,0,1,0,1
"Acacias, Madrid city",VM2405068,3.0,2.0,Flat,94.0,"500,000",,0,1,1,1
"El Olivar de Mirabal, Madrid Noroeste",ONM2405002,,,Building,385.0,"995,000",,1,1,1,1
"Recoletos, Madrid city",VM2405060,3.0,4.0,Flat,209.0,"2,900,000",,0,0,1,0
"Justicia, Madrid city",VM2405061,3.0,4.0,Flat,141.0,"1,100,000",,0,0,0,0
"Lavapiés, Madrid city",VM2405063,1.0,2.0,Flat,156.0,"950,000",,0,0,0,0
"Sol, Madrid city",VM2405064,1.0,1.0,Flat,70.0,"410,000",,0,0,0,0
"Hispanoamérica, Madrid city",VM2405065,5.0,4.0,Flat,280.0,"1,850,000",,0,0,0,0
"Recoletos, Madrid city",VM2405055,3.0,4.0,Flat,153.0,"2,450,000",,1,0,0,0
"Sol, Madrid city",VM2405056,3.0,2.0,Flat,224.0,"1,350,000",,0,0,0,0
"Trafalgar, Madrid city",VM2405057,2.0,2.0,Flat,98.0,"817,000",,1,0,0,1
"Castellana, Madrid city",VM2405059,4.0,2.0,Flat,145.0,"1,600,000",,0,0,0,0
"Lista, Madrid city",VM2405062,2.0,2.0,Flat,89.0,"1,200,000",,0,0,0,1
"Arapiles, Madrid city",VM2405047,1.0,1.0,Flat,68.0,"400,000",,0,0,0,1
"Universidad, Madrid city",VM2405048,2.0,2.0,Flat,53.0,"420,000",,0,0,0,1
"Zona Pueblo, Madrid Noroeste",VMO2405005,6.0,5.0,House,287.0,"760,000",,1,0,1,1
"Universidad, Madrid city",VM2405049,2.0,1.0,Flat,91.0,"750,000",,0,0,0,0
"Recoletos, Madrid city",VM2405050,2.0,2.0,Flat,96.0,"990,000",,0,0,0,0
"Universidad, Madrid city",VM2405051,3.0,4.0,Flat,362.0,"3,650,000",,0,0,0,0
"Fuente del Berro, Madrid city",VM2405053,3.0,3.0,Flat,152.0,"1,080,000",,0,0,0,1
"Ríos Rosas, Madrid city",VM2405041,1.0,1.0,Flat,30.0,"360,000",,0,0,0,1
"Arapiles, Madrid city",VM2405042,4.0,5.0,Flat,298.0,"1,950,000",194.0,0,0,0,0
"Universidad, Madrid city",VM2405043,2.0,1.0,Flat,41.0,"255,000",,0,0,0,0
"Cortes, Madrid city",VM2405037,6.0,1.0,Flat,141.0,"653,000",,0,0,0,0
"Goya, Madrid city",VM2405035,3.0,2.0,Flat,94.0,"850,000",,0,0,1,0
"Goya, Madrid city",VM2405036,2.0,3.0,Flat,133.0,"1,380,000",,0,1,0,1
"Jerónimos, Madrid city",VM2405039,3.0,1.0,Flat,67.0,"410,000",,0,0,0,0
"Peñagrande, Madrid city",VM2405032,5.0,4.0,House,527.0,"1,845,000",,1,0,1,1
"Aravaca, Madrid Noroeste",VMO2405003,3.0,3.0,Flat,229.0,"1,045,000",,0,1,0,0
"Recoletos, Madrid city",VM2405026,2.0,2.0,Flat,114.0,"1,850,000",,0,0,0,0
"Almagro, Madrid city",VM2405029,3.0,3.0,Flat,155.0,"1,750,000",,1,1,1,0
"Recoletos, Madrid city",VM2405030,3.0,4.0,Flat,323.0,"5,450,000",,0,0,1,0
"Almagro, Madrid city",VM2405031,3.0,4.0,Flat,200.0,"2,125,000",,0,0,0,0
"Fuente del Berro, Madrid city",VM2405033,3.0,2.0,Flat,95.0,"849,000",,0,0,1,1
"Goya, Madrid city",VM2405019,3.0,3.0,House,187.0,"1,990,000",,0,0,1,0
"Palacio, Madrid city",VM2405021,2.0,3.0,Flat,151.0,"1,189,000",,0,0,0,0
"Lista, Madrid city",VM2405023,4.0,4.0,Flat,244.0,"1,740,000",,0,1,0,0
"Justicia, Madrid city",VM2405025,1.0,2.0,Flat,73.0,"780,000",,0,0,0,0
"Arapiles, Madrid city",VM2405015,4.0,6.0,Flat,252.0,"2,300,000",,1,0,1,1
"Valdefuentes, Madrid Norte",ONM2405001,,,Lofts,,"188,800",,0,0,0,0
"Zona Pueblo, Madrid Noroeste",VMO2405001,,,Land,513.0,"850,000",,0,0,0,0
"Las Lomas, Madrid Noroeste",VMO2405002,8.0,8.0,House,561.0,"1,575,000",199.0,0,1,0,1
"Guindalera, Madrid city",VM2405011,2.0,2.0,Flat,86.0,"719,000",,0,0,0,0
"Recoletos, Madrid city",VM2405012,4.0,4.0,Flat,349.0,"4,537,000",,1,0,0,0
"Palacio, Madrid city",VM2405013,2.0,2.0,Duplex,138.0,"1,250,000",,0,0,1,0
"Goya, Madrid city",VM2405007,1.0,1.0,Flat,54.0,"385,000",,0,0,1,0
"Prosperidad, Madrid city",VM2405008,1.0,2.0,Flat,123.0,"899,000",,1,1,1,1
"Castellana, Madrid city",VM2405005,4.0,5.0,Flat,272.0,"3,150,000",,0,1,0,0
"Los Satélites, Madrid Noroeste",VMO2404014,3.0,3.0,Duplex,261.0,"995,000",,1,1,1,0
"Goya, Madrid city",VM2405004,3.0,4.0,Flat,165.0,"1,490,000",,0,0,0,1
"Castellana, Madrid city",VM2405001,5.0,5.0,Flat,277.0,"3,400,000",,0,0,1,0
Nuevo Baztán,VMN2405001,5.0,7.0,House,552.0,"900,000",,0,0,1,1
"Almagro, Madrid city",VM2405003,4.0,4.0,Flat,383.0,"3,700,000",,0,1,0,1
"Justicia, Madrid city",VM2404086,1.0,1.0,Flat,133.0,"580,000",,0,0,0,0
"Club de Golf, Madrid Noroeste",VMO2404013,6.0,7.0,House,335.0,"2,150,000",,0,0,0,0
"Zona Pueblo, Madrid Noroeste",VMO2404012,5.0,5.0,House,286.0,"1,150,000",,0,0,1,0
"Fresno Norte, Madrid Norte",VMN2404018,6.0,5.0,House,483.0,"1,200,000",,1,0,0,0
"Zona Estación, Madrid Noroeste",VMO2404011,5.0,4.0,House,378.0,"1,050,000",200.0,0,0,0,0
"Ciudalcampo, Madrid Norte",VMN2404019,5.0,5.0,House,480.0,"2,350,000",,1,1,0,0
"Recoletos, Madrid city",VM2404078,3.0,2.0,Flat,124.0,"2,100,000",,0,0,0,1
"Fresno Norte, Madrid Norte",VMN2404016,7.0,5.0,House,404.0,"1,495,000",,0,0,0,0
"Goya, Madrid city",VM2404079,2.0,2.0,Flat,77.0,"799,000",,0,0,1,0
"Prosperidad, Madrid city",VM2404083,3.0,1.0,Flat,92.0,"475,000",,0,0,0,1
"Arturo Soria, Madrid Norte",VMN2404017,6.0,5.0,Flat,408.0,"2,200,000",,1,1,1,0
"Goya, Madrid city",VM2404073,2.0,2.0,Flat,220.0,"1,950,000",,0,0,0,1
"Niño Jesús, Madrid city",VM2404074,4.0,3.0,Flat,200.0,"890,000",,0,1,0,1
"Trafalgar, Madrid city",VM2404077,3.0,2.0,Flat,111.0,"955,000",,0,0,0,0
"Encinar de los Reyes, Madrid Norte",VMN2404015,4.0,3.0,House,320.0,"1,360,000",,0,1,1,1
"Guindalera, Madrid city",VM2404070,2.0,2.0,Flat,117.0,"550,000",,0,0,0,1
"Acacias, Madrid city",VM2404071,2.0,2.0,Flat,109.0,"675,000",,1,1,0,1
"Valdeacederas, Madrid city",ONM2404003,3.0,3.0,House,284.0,"1,700,000",,1,1,1,0
"Piovera, Madrid Norte",VMN2404013,7.0,5.0,House,380.0,"2,350,000",,0,1,1,0
Guadalix de la Sierra,VMN2404010,,,Land,,"400,000",,0,0,0,0
"Universidad, Madrid city",VM2404062,3.0,3.0,Flat,260.0,"1,695,000",,0,0,1,0
"Universidad, Madrid city",VM2404063,2.0,2.0,Flat,141.0,"1,200,000",,0,0,0,0
"Aravaca, Madrid Noroeste",VMO2404008,6.0,7.0,House,480.0,"1,800,000",200.0,1,0,1,0
"Parque Boadilla, Madrid Noroeste",VMO2404006,5.0,4.0,House,371.0,"1,050,000",202.0,0,0,1,1
"Universidad, Madrid city",VM2404060,2.0,1.0,Flat,60.0,"395,000",,1,0,0,0
Fuente el Saz de Jarama,VMN2404009,,,Land,,"300,000",,0,0,0,0
"Sol, Madrid city",VM2404048,2.0,2.0,Flat,72.0,"1,049,000",,0,0,0,0
"Justicia, Madrid city",VM2404052,1.0,1.0,Flat,33.0,"350,000",,0,0,0,0
"Castellana, Madrid city",VM2404054,3.0,3.0,Flat,162.0,"1,649,000",,0,0,0,0
"Palacio, Madrid city",VM2404057,1.0,1.0,Flat,37.0,"310,000",,0,0,0,0
"Goya, Madrid city",VM2405054,2.0,2.0,Flat,80.0,"849,000",,0,0,0,1
"Recoletos, Madrid city",VM2404043,4.0,5.0,Flat,311.0,"4,990,000",,0,0,0,0
"Goya, Madrid city",VM2404044,3.0,2.0,Flat,125.0,"1,190,000",,0,0,1,0
"Castellana, Madrid city",VM2404045,3.0,2.0,Flat,84.0,"810,000",,0,0,0,0
"Justicia, Madrid city",VM2404046,2.0,2.0,Flat,85.0,"630,000",,0,0,0,0
"Justicia, Madrid city",VM2404047,2.0,2.0,Flat,109.0,"818,000",,0,0,0,0
"Justicia, Madrid city",VM2404040,3.0,4.0,Flat,235.0,"2,490,000",,0,0,0,1
"Hispanoamérica, Madrid city",VM2404041,3.0,4.0,Flat,220.0,"1,850,000",,0,1,0,0
"Castellana, Madrid city",VM2404050,4.0,5.0,Flat,244.0,"2,950,000",,1,0,0,1
"Palos de Moguer, Madrid city",ONM2404002,,,Building,87.0,"597,000",,1,0,1,0
"Guindalera, Madrid city",VM2404038,2.0,2.0,Flat,102.0,"860,000",197.0,0,1,1,0
"Lista, Madrid city",VM2404031,2.0,2.0,Flat,90.0,"1,150,000",,0,0,1,0
"Argüelles, Madrid city",VM2404033,3.0,2.0,Flat,141.0,"975,000",,1,0,0,1
"El Viso, Madrid city",VM2404034,9.0,5.0,House,461.0,"3,900,000",,0,0,0,0
"Lista, Madrid city",VM2404035,2.0,2.0,Flat,72.0,"679,000",,0,0,0,0
"Castellana, Madrid city",VM2404025,5.0,5.0,Flat,284.0,"3,600,000",,1,1,1,1
"Recoletos, Madrid city",VM2404026,3.0,4.0,Flat,219.0,"4,150,000",,1,0,0,1
Nuevo Baztán,VMN2404006,7.0,7.0,House,820.0,"1,580,000",,1,1,0,0
"Monte Alina, Madrid Noroeste",VMO2404004,7.0,7.0,House,986.0,"2,450,000",,0,0,1,0
"Recoletos, Madrid city",VM2404021,4.0,4.0,Flat,292.0,"5,550,000",,1,0,0,0
"Goya, Madrid city",VM2404017,5.0,5.0,Flat,379.0,"3,600,000",,1,0,1,0
"Almagro, Madrid city",VM2404012,3.0,4.0,Flat,281.0,"2,945,000",,0,1,1,0
"El Cantizal, Madrid Noroeste",VMO2404002,6.0,4.0,House,477.0,"1,392,000",,1,0,1,1
"Montecillo, Madrid Noroeste",VMO2404003,6.0,5.0,House,470.0,"1,250,000",,0,0,1,0
"Recoletos, Madrid city",VM2404014,4.0,5.0,Flat,471.0,"7,500,000",,0,0,0,0
"Palomas, Madrid Norte",VMN2404001,6.0,5.0,House,230.0,"1,300,000",,0,0,1,0
"Justicia, Madrid city",VM2404008,2.0,2.0,Flat,104.0,"1,230,000",,0,0,0,0
"Mirasierra, Madrid Norte",VMN2404003,4.0,5.0,House,285.0,"1,550,000",,0,0,0,0
"Jerónimos, Madrid city",VM2404003,3.0,4.0,Flat,185.0,"985,000",,0,1,1,0
"Recoletos, Madrid city",VM2404002,3.0,2.0,Flat,134.0,"2,195,000",,0,0,0,0
"Castellana, Madrid city",VM2404006,5.0,2.0,Flat,231.0,"2,550,000",,0,0,0,0
"Villafranca del castillo, Madrid Noroeste",VMO2403017,8.0,9.0,House,750.0,"1,325,000",198.0,1,0,0,0
"Sanchinarro, Madrid Norte",VMN2403009,4.0,3.0,Flat,169.0,"680,000",,0,1,0,0
"Santo Domingo, Madrid Norte",VMN2403008,5.0,4.0,Villa,300.0,"995,000",198.0,1,1,1,0
"Zona Estación, Madrid Noroeste",VMO2403015,5.0,5.0,House,358.0,"1,150,000",,0,0,1,0
"Universidad, Madrid city",VM2403085,3.0,2.0,Flat,75.0,"435,000",,0,0,1,0
"Justicia, Madrid city",VM2403086,6.0,,Flat,257.0,"1,665,000",,0,0,0,0
"Ibiza, Madrid city",VM2403087,3.0,2.0,House,94.0,"1,030,000",,0,0,1,0
"Cuatro Caminos, Madrid city",VM2403089,4.0,2.0,House,477.0,"1,395,000",,0,0,0,0
"Guindalera, Madrid city",ONM2403004,,,New development,262.5,"998,500",,0,0,0,0
"Fuente del Berro, Madrid city",VM2403075,8.0,3.0,House,207.0,"1,350,000",,0,0,0,0
"Goya, Madrid city",VM2403076,3.0,3.0,House,142.0,"1,990,000",,0,0,1,0
"Niño Jesús, Madrid city",VM2403077,4.0,4.0,Flat,248.0,"2,200,000",,0,1,0,0
"Trafalgar, Madrid city",VM2403069,2.0,2.0,Flat,94.0,"839,000",,0,0,0,0
"Trafalgar, Madrid city",VM2403070,2.0,2.0,Flat,94.0,"839,000",,0,0,0,0
"Lavapiés, Madrid city",VM2403072,1.0,1.0,Flat,71.0,"375,000",,0,0,0,0
"Valdemarín, Madrid Noroeste",ONM2403003,,,Villa,418.5,"2,184,000",,0,0,1,0
"Sol, Madrid city",VM2403064,5.0,5.0,Flat,448.0,"4,200,000",,0,0,0,0
"Goya, Madrid city",VM2403068,3.0,4.0,Flat,132.0,"1,430,000",,0,0,0,1
Fuente el Saz de Jarama,VMN2403007,5.0,2.0,House,474.0,"1,150,000",,0,0,1,1
"Goya, Madrid city",VM2403059,3.0,3.0,Flat,145.0,"1,350,000",,0,0,0,1
"Almagro, Madrid city",VM2403060,2.0,2.0,House,71.0,"1,250,000",,0,1,1,0
"Ciudalcampo, Madrid Norte",VMN2403006,9.0,6.0,House,545.0,"1,125,000",,0,1,0,0
"Recoletos, Madrid city",VM2403061,4.0,5.0,Flat,300.0,"5,490,000",,0,0,0,1
"Carretera el Plantio, Madrid Noroeste",VMO2403013,6.0,5.0,Duplex,390.0,"1,150,000",,1,1,1,0
"Somosaguas, Madrid Noroeste",VMO2403011,5.0,5.0,House,336.0,"1,550,000",,1,1,0,0
"Goya, Madrid city",VM2403052,3.0,3.0,Flat,182.0,"1,870,000",,1,0,0,0
"Justicia, Madrid city",VM2403050,2.0,2.0,Flat,170.0,"1,950,000",,0,0,0,1
"Valdemarín, Madrid Noroeste",ONM2403002,,,Villa,680.0,"4,300,000",,0,0,0,0
"El Viso, Madrid city",VM2403051,10.0,8.0,House,995.0,"10,000,000",,0,0,1,0
"Justicia, Madrid city",VM2403041,1.0,2.0,Flat,65.0,"530,000",,0,0,0,0
"Hispanoamérica, Madrid city",VM2403043,1.0,1.0,Flat,82.0,"595,000",,0,0,0,0
"Castellana, Madrid city",VM2403042,4.0,5.0,Flat,488.0,"5,000,000",,0,0,0,0
"Castellana, Madrid city",VM2403046,4.0,5.0,Flat,584.0,"7,000,000",,1,0,0,0
"Recoletos, Madrid city",VM2403031,5.0,3.0,Flat,518.0,"5,400,000",,0,0,0,0
"Goya, Madrid city",VM2403034,3.0,4.0,Flat,206.0,"2,700,000",,0,0,0,1
"Almagro, Madrid city",VM2403039,2.0,2.0,Flat,85.0,"600,000",,0,0,0,0
"Recoletos, Madrid city",VM2403040,3.0,3.0,Flat,255.0,"4,200,000",,0,0,0,1
"Zona Pueblo, Madrid Noroeste",VMO2403005,6.0,6.0,House,450.0,"1,615,000",,0,1,0,1
"Zona Norte, Madrid Noroeste",VMO2403006,4.0,3.0,House,257.0,"870,000",,0,0,1,0
"Recoletos, Madrid city",VM2403025,4.0,3.0,Flat,243.0,"3,150,000",,0,0,0,0
"Almagro, Madrid city",VM2403026,4.0,2.0,Flat,384.0,"3,300,000",,1,1,0,0
"Peñagrande, Madrid city",ONM2403001,,,Homes,91.5,"342,000",,0,0,1,0
"Recoletos, Madrid city",VM2403016,3.0,3.0,Flat,133.0,"1,480,000",,0,0,1,0
"Goya, Madrid city",VM2403019,2.0,2.0,House,86.0,"850,000",,0,0,1,0
"Prosperidad, Madrid city",VM2403020,2.0,2.0,Flat,82.0,"595,000",,0,0,0,0
"Universidad, Madrid city",VM2403013,1.0,1.0,Flat,100.0,"745,000",,0,0,0,0
"El Soto de la Moraleja, Madrid Norte",VMN2403002,4.0,3.0,Flat,234.0,"1,320,000",,1,1,1,1
"Justicia, Madrid city",VM2403010,3.0,2.0,Flat,181.0,"1,265,000",,0,0,1,1
"Aravaca, Madrid Noroeste",VMO2403003,5.0,5.0,House,454.0,"2,500,000",,1,1,1,0
"Monte Alina, Madrid Noroeste",VMO2403002,7.0,8.0,House,,"4,275,000",,0,0,0,0
"Lista, Madrid city",VM2402096,3.0,4.0,Flat,206.0,"1,850,000",,1,0,0,0
"Zona Avenida de Europa, Madrid Noroeste",VMO2402018,4.0,2.0,Flat,156.0,"790,000",,1,1,1,0
Valdemorillo,VMO2402019,4.0,2.0,House,286.0,"360,000",,1,0,0,0
"Trafalgar, Madrid city",VM2402091,2.0,1.0,House,78.0,"950,000",,0,0,1,1
"Somosaguas, Madrid Noroeste",VMO2402017,6.0,4.0,House,341.0,"1,150,000",,0,1,0,0
"Justicia, Madrid city",VM2402094,3.0,2.0,Flat,131.0,"1,345,000",,0,0,0,1
"Ciudalcampo, Madrid Norte",VMN2402010,4.0,5.0,House,535.0,"1,990,000",,0,0,0,0
"Cuatro Caminos, Madrid city",VM2402089,,3.0,Flat,193.0,"1,170,000",,0,0,1,0
"Vallehermoso, Madrid city",VM2402090,3.0,4.0,Flat,202.0,"1,320,000",,0,0,1,0
"Universidad, Madrid city",VM2402078,1.0,1.0,Flat,51.0,"235,000",,0,0,0,0
"Legazpi, Madrid city",VM2402080,5.0,4.0,House,380.0,"1,250,000",,0,0,1,0
"Castellana, Madrid city",VM2402083,4.0,3.0,Flat,114.0,"1,730,000",,0,0,0,0
"Ciudad Universitaria, Madrid city",VM2402087,5.0,6.0,Flat,604.0,"2,600,000",,0,1,1,0
