Area,rooms,floor,price,elevator,exterior,district
133.0,2,6.0,264000,True,True,Villaverde 21
60.0,3,2.0,98260,False,True,Villaverde 21
133.0,3,7.0,275000,True,True,Villaverde 21
85.0,2,2.0,124000,False,True,Villaverde 21
59.0,2,3.0,164513,True,True,Villaverde 21
59.0,2,1.0,164416,True,True,Villaverde 21
58.0,2,4.0,165435,True,True,Villaverde 21
79.0,3,1.0,202629,True,True,Villaverde 21
60.0,2,0.0,164242,True,True,Villaverde 21
121.0,3,3.0,260000,True,True,Villaverde 21
126.0,3,2.0,294900,True,True,Villaverde 21
134.0,4,1.0,319900,True,True,Villaverde 21
111.0,3,1.0,259900,True,True,Villaverde 21
122.0,3,2.0,285900,True,True,Villaverde 21
125.0,3,1.0,289900,True,True,Villaverde 21
102.0,2,1.0,249900,True,True,Villaverde 21
104.0,3,1.0,273352,True,True,Villaverde 21
66.0,3,1.0,104900,True,True,Villaverde 21
95.0,2,2.0,155000,False,True,Villaverde 21
74.0,3,1.0,100000,False,True,Villaverde 21
97.0,2,0.0,210000,True,True,Villaverde 21
90.0,2,7.0,240000,True,True,Villaverde 21
130.0,4,3.0,257000,True,True,Villaverde 21
49.0,2,0.0,84000,True,True,Villaverde 21
151.0,3,6.0,314000,True,True,Villaverde 21
69.0,3,4.0,107000,False,True,Villaverde 21
170.0,3,8.0,325000,True,True,Villaverde 21
98.0,3,7.0,284900,True,True,Villaverde 21
50.0,1,7.0,135000,True,True,Villaverde 21
136.0,3,5.0,230000,True,True,Villaverde 21
80.0,3,3.0,163000,True,True,Villaverde 21
95.0,3,2.0,185000,False,True,Villaverde 21
56.0,3,5.0,80000,False,True,Villaverde 21
43.0,1,0.0,84000,False,True,Villaverde 21
72.0,3,3.0,119900,True,True,Villaverde 21
100.0,4,1.0,154900,True,True,Villaverde 21
70.0,3,4.0,119900,True,True,Villaverde 21
60.0,2,0.0,79900,False,True,Villaverde 21
60.0,2,2.0,79900,False,True,Villaverde 21
91.0,3,3.0,129900,False,True,Villaverde 21
74.0,3,2.0,99900,False,True,Villaverde 21
110.0,3,5.0,275000,True,True,Villaverde 21
83.0,3,3.0,91500,False,True,Villaverde 21
65.0,2,0.5,86860,False,True,Villaverde 21
58.0,3,3.0,105000,False,True,Villaverde 21
115.0,3,6.0,216000,True,True,Villaverde 21
82.0,3,4.0,120000,False,True,Villaverde 21
83.0,3,0.0,135000,True,True,Villaverde 21
90.0,2,0.0,212000,True,True,Villaverde 21
95.0,2,5.0,184000,True,True,Villaverde 21
89.0,3,0.0,160000,False,True,Villaverde 21
178.0,4,5.0,299990,True,True,Villaverde 21
59.0,2,2.0,117000,False,True,Villaverde 21
100.0,4,0.0,165000,True,True,Villaverde 21
68.0,3,4.0,95000,False,True,Villaverde 21
