price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,education_centers,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
123000,bajo,exterior,2,50.0,0,0,Aeropuerto,barajas,1.0,0.0,9.02,3.06,6.74,8.31,15.91,1
98000,bajo,exterior,2,74.0,0,0,Aeropuerto,barajas,1.0,0.0,9.02,3.06,6.74,8.31,15.91,1
160000,bajo,exterior,3,70.0,1,0,Aeropuerto,barajas,1.0,0.0,9.02,3.06,6.74,8.31,15.91,1
139900,entreplanta,exterior,3,54.0,0,0,Aeropuerto,barajas,1.0,0.0,9.02,3.06,6.74,8.31,15.91,1
118500,planta 2,exterior,3,74.0,0,0,Aeropuerto,barajas,1.0,0.0,9.02,3.06,6.74,8.31,15.91,1
108000,planta 2,exterior,3,60.0,1,0,Aeropuerto,barajas,1.0,0.0,9.02,3.06,6.74,8.31,15.91,1
123000,bajo,exterior,2,52.0,0,0,Aeropuerto,barajas,1.0,0.0,9.02,3.06,6.74,8.31,15.91,1
850000,planta 7,exterior,3,172.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
180000,planta 3,exterior,3,61.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
185000,planta 1,exterior,2,99.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
395000,planta 4,exterior,4,124.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
170000,entreplanta,exterior,3,90.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
145000,planta 1,exterior,1,40.0,1,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
276000,planta 2,interior,3,77.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
241900,planta 7,exterior,3,94.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
168000,planta 1,exterior,3,86.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
139900,planta 3,exterior,3,76.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
285000,planta 4,exterior,2,85.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
169000,planta 2,exterior,2,67.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
220000,planta 2,exterior,4,113.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
186000,planta 3,exterior,3,87.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
195900,planta 4,interior,3,75.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
109900,bajo,exterior,2,54.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
134900,planta 2,exterior,1,32.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
134000,planta 1,exterior,1,40.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
170000,planta 4,exterior,3,93.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
285000,planta 2,exterior,2,114.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
168000,planta 1,exterior,2,75.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
390000,planta 3,exterior,3,148.0,0,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
270000,planta 3,exterior,2,68.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
161000,bajo,exterior,2,75.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
