price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,education_centers,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
275000,planta 2,exterior,2,80.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
239000,planta 1,interior,3,71.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
140000,planta 3,exterior,3,74.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
122000,planta 2,exterior,1,51.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
175000,planta 4,exterior,2,61.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
230000,planta 1,exterior,3,87.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
173500,planta 1,exterior,3,85.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
169500,planta 4,interior,2,72.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
199500,planta 4,exterior,3,93.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
178000,planta 2,exterior,2,69.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
305000,planta 3,exterior,3,105.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
152000,planta 1,exterior,2,64.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
78000,bajo,interior,1,38.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
165000,planta 2,exterior,3,69.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
131000,planta 1,exterior,2,72.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
160000,planta 2,exterior,2,80.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
360000,planta 3,exterior,4,144.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
160000,planta 10,exterior,3,77.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
250000,planta 1,exterior,2,106.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
218000,planta 2,exterior,3,80.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
415000,planta 6,exterior,2,98.0,1,1,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
167000,planta 2,exterior,3,70.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
299000,planta 3,exterior,1,62.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
350000,planta 8,interior,3,92.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
129000,planta 1,exterior,3,70.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
350000,planta 5,exterior,3,88.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
159500,planta 3,exterior,2,76.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
159000,planta 2,exterior,3,77.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
169500,planta 4,exterior,4,80.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
365000,planta 4,exterior,4,106.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
239900,planta 1,exterior,2,85.0,1,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
235000,planta 1,exterior,3,97.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
385000,planta 1,exterior,3,110.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
218000,planta 1,exterior,3,119.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
189000,planta 3,exterior,4,80.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
169500,planta 1,exterior,3,77.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
260000,planta 8,exterior,2,82.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
350000,planta 5,exterior,3,101.0,1,1,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
234000,planta 2,exterior,4,149.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
210000,planta 2,exterior,3,133.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
180000,planta 4,exterior,3,101.0,0,1,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
265000,planta 3,exterior,3,101.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
165000,bajo,exterior,3,79.0,0,1,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
139900,planta 1,interior,2,60.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
126000,bajo,exterior,1,34.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
160000,planta 4,exterior,3,72.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
193000,planta 3,exterior,3,83.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
285000,planta 3,exterior,3,87.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
185000,planta 2,exterior,3,83.0,0,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
239000,planta 1,exterior,4,103.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
175000,planta 9,exterior,3,77.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
110000,planta 3,exterior,2,49.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
165000,planta 2,exterior,2,66.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
179000,planta 2,interior,3,66.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
136000,planta 4,exterior,1,46.0,1,1,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
195000,planta 1,exterior,2,94.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
400000,planta 4,exterior,4,135.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
144900,bajo,exterior,3,79.0,0,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
219000,planta 1,exterior,1,86.0,1,1,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
165000,planta 2,interior,2,66.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
119900,bajo,interior,2,38.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
210000,planta 5,exterior,3,63.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
128000,bajo,exterior,3,51.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
178000,planta 3,exterior,3,75.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
250000,planta 1,exterior,2,100.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
175000,planta 2,exterior,3,75.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
153000,planta 2,exterior,3,64.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
185000,planta 2,interior,3,76.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
315000,planta 2,exterior,3,122.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
115000,bajo,exterior,2,47.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
142000,planta 3,exterior,3,71.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
75000,bajo,exterior,2,46.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
115000,bajo,exterior,2,55.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
179000,planta 1,exterior,2,77.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
161000,planta 1,exterior,3,68.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
137000,planta 1,exterior,2,65.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
379000,planta 1,exterior,4,136.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
399000,planta 5,exterior,4,126.0,1,1,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
140500,planta 1,exterior,3,74.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
105000,planta 3,exterior,2,60.0,0,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
118200,planta 1,exterior,1,56.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
180500,planta 3,exterior,3,92.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
180500,planta 3,exterior,3,86.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
167000,bajo,exterior,2,70.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
195000,planta 2,exterior,3,93.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
169000,planta 6,exterior,3,75.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
375000,planta 3,exterior,3,112.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
285000,bajo,exterior,2,90.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
170000,planta 5,exterior,2,73.0,1,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
159900,planta 1,interior,2,71.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
195000,planta 6,exterior,1,39.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
105000,bajo,exterior,2,53.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
185000,bajo,exterior,1,54.0,1,1,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
148000,planta 3,exterior,2,70.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
165000,bajo,exterior,3,60.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
340000,planta 8,exterior,3,92.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
485000,planta 5,exterior,2,147.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
200000,planta 4,exterior,3,97.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
167000,planta 2,exterior,2,68.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
150000,planta 4,exterior,2,70.0,1,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
117000,bajo,interior,2,50.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
129000,planta 2,exterior,2,67.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
439000,planta 3,exterior,4,176.0,1,1,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
289000,bajo,exterior,3,115.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
209900,planta 1,exterior,1,61.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
120000,planta 2,exterior,2,64.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
265000,bajo,exterior,3,104.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
170000,planta 1,exterior,2,65.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
198000,bajo,exterior,1,85.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
170000,bajo,exterior,1,62.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
228000,planta 4,exterior,2,70.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
183000,planta 1,exterior,3,66.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
179000,planta 1,exterior,2,79.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
142000,planta 1,exterior,2,54.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
435000,planta 5,exterior,4,135.0,1,1,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
120000,planta 2,exterior,2,60.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
148000,planta 5,exterior,2,58.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
190000,planta 5,exterior,2,70.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
115000,planta 1,interior,2,37.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
115000,planta 1,exterior,3,77.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
136000,planta 3,exterior,3,87.0,1,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
109000,bajo,exterior,1,35.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
169000,planta 3,exterior,3,77.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
149000,planta 2,exterior,3,94.0,0,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
145000,planta 1,exterior,2,59.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
145000,planta 3,exterior,4,115.0,1,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
360000,planta 3,exterior,3,112.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
165000,planta 1,interior,3,69.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
125000,bajo,exterior,1,32.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
170000,planta 1,exterior,3,92.0,0,1,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
250000,planta 1,exterior,2,100.0,0,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
169700,planta 1,exterior,3,73.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
225000,planta 3,exterior,4,112.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
180000,planta 2,interior,3,75.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
290000,planta 1,exterior,4,134.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
165000,entreplanta,exterior,3,86.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
220000,planta 1,exterior,3,93.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
224990,bajo,exterior,3,96.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
367000,planta 3,exterior,2,85.0,1,1,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
198000,bajo,exterior,3,60.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
210000,bajo,exterior,2,92.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
120000,planta 4,exterior,2,67.0,1,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
134000,planta 2,exterior,3,62.0,0,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
420000,planta 1,exterior,4,130.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
285030,planta 3,interior,2,89.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
139000,planta 2,exterior,3,70.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
259000,planta 2,exterior,4,97.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
200000,planta 1,interior,3,86.0,0,1,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
214000,planta 1,exterior,3,112.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
220000,planta 2,exterior,3,90.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
126000,planta 4,exterior,2,70.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
250000,planta 2,exterior,2,111.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
226000,bajo,interior,3,80.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
214000,planta 1,exterior,3,112.0,1,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
130000,planta 1,exterior,2,54.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
225000,planta 1,exterior,3,75.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
65000,bajo,exterior,2,46.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
360000,casa,exterior,4,105.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
185000,planta 3,exterior,2,65.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
301600,planta 1,exterior,3,120.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
134000,planta 3,exterior,2,64.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
342000,planta 4,exterior,3,103.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
208800,planta 6,exterior,4,110.0,1,0,Abrantes,carabanchel,15.0,0.0,8.58,5.73,13.05,10.92,6.22,1
139000,planta 5,exterior,2,57.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
174000,planta 1,exterior,3,75.0,0,0,Opañel,carabanchel,16.0,0.0,8.67,9.53,10.68,10.92,6.48,1
148730,planta 1,exterior,1,57.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
109000,bajo,exterior,1,61.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
263000,planta 1,exterior,3,118.0,0,0,Buenavista,carabanchel,26.0,1.0,8.89,8.35,10.42,10.92,5.82,1
120500,planta 2,exterior,1,56.0,1,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
115000,planta 3,exterior,2,83.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
135000,planta 2,exterior,3,69.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
170000,bajo,exterior,1,68.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
166000,planta 2,exterior,3,84.0,0,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
135000,planta 1,exterior,2,60.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
150000,bajo,exterior,2,64.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
160000,planta 3,exterior,2,76.0,0,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
160000,planta 1,exterior,1,55.0,1,0,San Isidro,carabanchel,15.0,1.0,8.75,6.64,11.27,10.92,6.67,1
150000,bajo,exterior,1,41.0,1,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
295100,bajo,exterior,2,111.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
260000,bajo,exterior,2,98.0,0,0,Comillas,carabanchel,6.0,0.0,8.75,7.77,12.57,10.92,6.06,1
181000,planta 1,exterior,3,88.0,0,0,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
279400,bajo,exterior,2,102.0,1,1,Puerta Bonita,carabanchel,18.0,0.0,10.73,11.03,11.35,10.92,7.35,1
245000,planta 1,exterior,2,81.0,1,0,Vista Alegre,carabanchel,19.0,1.0,8.47,10.87,13.03,10.92,6.02,1
