sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,neighborhood,District,HouseType
75.0,1,1.0,1,1,0.0,505,0,92500,1233,1,0,,2008.0,0.0,1.0,1.0,1.0,1.0,1.0,,,in process,0,,,1.0,1.0,1.0,1.0,San Andrés 134,Villaverde 21,Piso
123.0,3,2.0,1,7,0.0,1195,0,298000,2423,1,0,0.0,2002.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,in process,1,1.0,0.0,,,,,Los Rosales 133,Villaverde 21,Piso
61.0,3,1.0,1,2,0.0,539,0,99900,1638,1,0,,,0.0,1.0,1.0,,,1.0,1.0,,in process,0,,,,,,,San Andrés 134,Villaverde 21,Piso
72.0,2,1.0,1,3,0.0,698,0,138000,1917,1,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,,,in process,1,1.0,0.0,,,,,San Andrés 134,Villaverde 21,Piso
61.0,3,1.0,0,5,0.0,539,0,100000,1639,1,0,0.0,1966.0,0.0,1.0,,,0.0,1.0,,,in process,0,,,1.0,0.0,1.0,0.0,Butarque 131,Villaverde 21,Piso
71.0,3,1.0,1,1,0.0,672,0,131400,1851,1,1,0.0,1980.0,0.0,1.0,,,0.0,1.0,1.0,,in process,0,,,,,,,San Andrés 134,Villaverde 21,Piso
87.0,3,1.0,1,2,0.0,521,0,96000,1103,1,1,0.0,,,,1.0,,0.0,1.0,1.0,,E,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
60.0,2,1.0,1,,,758,0,154000,2567,1,0,0.0,,,,1.0,1.0,0.0,1.0,1.0,,A,0,,,0.0,0.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
78.0,4,1.0,1,2,0.0,731,0,146700,1881,1,0,,,,,,1.0,1.0,1.0,,,G,0,,,0.0,0.0,1.0,0.0,Los Ángeles 132,Villaverde 21,Piso
52.0,1,1.0,1,1,0.0,505,0,92500,1779,1,0,,,0.0,1.0,1.0,,0.0,,,,G,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
125.0,3,3.0,1,7,0.0,1135,0,275000,2200,1,0,0.0,2004.0,,,1.0,,1.0,1.0,1.0,1.0,D,0,,,,,,,Butarque 131,Villaverde 21,Dúplex
75.0,0,1.0,1,1,0.0,465,0,83800,1117,1,0,0.0,2008.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,in process,0,,,1.0,1.0,1.0,1.0,San Andrés 134,Villaverde 21,Estudio
97.0,2,2.0,0,Bajo,1.0,1111,0,266122,2744,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
93.0,2,2.0,0,7,0.0,1004,0,228273,2455,1,0,1.0,,,,,,1.0,1.0,1.0,,not indicated,0,,,,,,,Butarque 131,Villaverde 21,Piso
103.0,4,2.0,1,1,0.0,823,0,171900,1669,1,0,0.0,,,,,,1.0,1.0,,1.0,in process,0,,,,,,,Los Ángeles 132,Villaverde 21,Piso
83.0,2,2.0,1,7,0.0,1004,0,228273,2750,1,0,0.0,2020.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,in process,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Ático
45.0,2,1.0,1,1,0.0,471,0,85000,1889,1,1,0.0,1968.0,0.0,1.0,,,0.0,1.0,,,E,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
120.0,3,2.0,1,7,0.0,1195,0,298000,2483,1,0,0.0,,0.0,1.0,1.0,1.0,1.0,,,1.0,in process,1,1.0,0.0,,,,,Los Rosales 133,Villaverde 21,Piso
74.0,3,1.0,0,1,0.0,702,0,139000,1878,1,0,0.0,,0.0,1.0,,1.0,0.0,1.0,,1.0,not indicated,0,,,0.0,0.0,1.0,0.0,Los Ángeles 132,Villaverde 21,Piso
125.0,3,2.0,0,7,0.0,1128,0,272500,2180,1,0,0.0,2004.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,F,0,,,,,,,Butarque 131,Villaverde 21,Dúplex
126.0,4,2.0,1,Bajo,1.0,1135,0,275000,2183,1,0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,in process,1,1.0,0.0,0.0,0.0,1.0,1.0,Butarque 131,Villaverde 21,Piso
158.0,3,2.0,0,4,0.0,1172,0,289000,1829,1,0,0.0,2003.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,in process,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Ático
65.0,2,1.0,1,,,604,0,115000,1769,1,0,0.0,,,,,,0.0,1.0,,,G,0,,,,,,,Los Rosales 133,Villaverde 21,Piso
108.0,3,2.0,1,4,0.0,847,0,179000,1657,1,0,0.0,1978.0,,,,1.0,1.0,1.0,1.0,,in process,0,,,,,,,Los Ángeles 132,Villaverde 21,Piso
62.0,2,1.0,1,Bajo,1.0,638,0,123000,1984,1,0,0.0,1984.0,0.0,1.0,1.0,,1.0,1.0,,,E,0,,,1.0,0.0,0.0,0.0,San Andrés 134,Villaverde 21,Piso
