price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
415000,planta 6,exterior,2,98.0,1,1,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
167000,planta 2,exterior,3,70.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
299000,planta 3,exterior,1,62.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
350000,planta 8,interior,3,92.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
129000,planta 1,exterior,3,70.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
350000,planta 5,exterior,3,88.0,1,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
159500,planta 3,exterior,2,76.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
159000,planta 2,exterior,3,77.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
169500,planta 4,exterior,4,80.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
365000,planta 4,exterior,4,106.0,1,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
239900,planta 1,exterior,2,85.0,1,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
235000,planta 1,exterior,3,97.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
385000,planta 1,exterior,3,110.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
218000,planta 1,exterior,3,119.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
189000,planta 3,exterior,4,80.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
169500,planta 1,exterior,3,77.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
260000,planta 8,exterior,2,82.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
350000,planta 5,exterior,3,101.0,1,1,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
234000,planta 2,exterior,4,149.0,1,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
210000,planta 2,exterior,3,133.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
180000,planta 4,exterior,3,101.0,0,1,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
265000,planta 3,exterior,3,101.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
165000,bajo,exterior,3,79.0,0,1,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
139900,planta 1,interior,2,60.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
126000,bajo,exterior,1,34.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
