,price,house_type_2,rooms,m2,elevator,garage,neighborhood,district,house_type_,floor
0,495000,exterior,3,118.0,True,True,Chopera,Arganzuela,Apartment,1
1,485000,exterior,2,82.0,True,True,Palos de Moguer,Arganzuela,Apartment,2
2,315000,exterior,2,72.0,False,False,Legazpi,Arganzuela,Apartment,2
3,585000,exterior,2,174.0,True,True,Palos de Moguer,Arganzuela,Apartment,4
4,255000,exterior,3,75.0,False,False,Acacias,Arganzuela,bajo,0
5,299000,exterior,1,69.0,True,False,Chopera,Arganzuela,Apartment,1
6,265000,exterior,2,54.0,True,False,Delicias,Arganzuela,Apartment,3
7,290000,interior,4,69.0,True,False,Chopera,Arganzuela,Apartment,3
8,660220,exterior,3,129.0,True,True,Imperial,Arganzuela,Apartment,2
9,525000,exterior,4,111.0,True,False,Chopera,Arganzuela,Apartment,4
10,429900,interior,3,139.0,False,False,Acacias,Arganzuela,bajo,0
11,385000,exterior,4,100.0,True,False,Chopera,Arganzuela,Apartment,6
12,299000,exterior,3,85.0,True,False,Delicias,Arganzuela,Apartment,2
13,430000,exterior,2,92.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
14,350000,exterior,2,91.0,True,False,Imperial,Arganzuela,Apartment,2
16,479000,exterior,4,121.0,True,False,Imperial,Arganzuela,Apartment,1
17,420000,exterior,2,105.0,True,False,Palos de Moguer,Arganzuela,Apartment,4
18,239000,interior,2,54.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
19,585000,exterior,2,110.0,True,True,Palos de Moguer,Arganzuela,Apartment,4
20,410000,exterior,3,79.0,True,False,Acacias,Arganzuela,Apartment,5
21,293000,exterior,2,77.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
22,190000,exterior,2,48.0,False,False,Imperial,Arganzuela,Apartment,3
23,299000,interior,2,60.0,True,False,Palos de Moguer,Arganzuela,Apartment,5
24,360000,exterior,1,62.0,True,True,Imperial,Arganzuela,Apartment,5
25,335000,exterior,1,54.0,True,True,Imperial,Arganzuela,Apartment,5
26,359900,exterior,1,62.0,True,True,Legazpi,Arganzuela,Apartment,8
27,235000,interior,1,59.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
28,315000,exterior,3,72.0,True,False,Delicias,Arganzuela,Apartment,2
29,530000,exterior,2,133.0,True,False,Palos de Moguer,Arganzuela,Apartment,6
31,310000,exterior,3,72.0,True,False,Delicias,Arganzuela,Apartment,2
32,387900,exterior,1,64.0,True,True,Legazpi,Arganzuela,Apartment,2
33,729000,exterior,5,175.0,True,False,Imperial,Arganzuela,Apartment,3
34,243000,exterior,3,55.0,False,False,Legazpi,Arganzuela,Apartment,3
35,460000,exterior,4,125.0,True,False,Delicias,Arganzuela,Apartment,4
36,458000,exterior,2,71.0,True,True,Imperial,Arganzuela,Apartment,1
37,475000,exterior,2,95.0,True,True,Legazpi,Arganzuela,Apartment,1
38,357000,exterior,1,86.0,True,True,Legazpi,Arganzuela,Apartment,1
39,550000,interior,3,130.0,True,False,Imperial,Arganzuela,Apartment,2
40,475000,exterior,2,105.0,True,True,Legazpi,Arganzuela,Apartment,4
41,293000,interior,3,74.0,True,False,Palos de Moguer,Arganzuela,Apartment,2
42,282900,exterior,2,47.0,True,False,Acacias,Arganzuela,Apartment,2
43,235000,interior,1,36.0,True,False,Delicias,Arganzuela,Apartment,3
44,385000,interior,2,98.0,True,False,Legazpi,Arganzuela,Apartment,4
45,390000,exterior,3,95.0,True,False,Chopera,Arganzuela,Apartment,1
46,575000,interior,3,143.0,True,True,Acacias,Arganzuela,Apartment,2
48,780000,exterior,4,160.0,True,False,Imperial,Arganzuela,Apartment,8
49,210000,exterior,2,53.0,False,False,Legazpi,Arganzuela,Apartment,3
50,569000,interior,3,115.0,True,True,D̼plex en Legazpi,Arganzuela,bajo,0
51,370000,exterior,3,103.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
52,375000,interior,3,99.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
53,399000,exterior,3,86.0,False,False,Delicias,Arganzuela,Apartment,1
54,1150000,exterior,4,209.0,True,True,Legazpi,Arganzuela,Apartment,18
57,275000,exterior,2,94.0,True,False,Imperial,Arganzuela,bajo,0
58,410000,exterior,3,117.0,True,False,Imperial,Arganzuela,Apartment,1
59,320000,exterior,3,82.0,True,False,Chopera,Arganzuela,Apartment,1
60,470000,exterior,3,121.0,True,False,Acacias,Arganzuela,Apartment,1
61,375000,interior,3,82.0,True,False,Chopera,Arganzuela,Apartment,1
62,385000,interior,3,93.0,True,False,Acacias,Arganzuela,Apartment,2
63,249000,interior,2,54.0,True,False,Palos de Moguer,Arganzuela,Apartment,3
64,410000,interior,2,69.0,True,True,Delicias,Arganzuela,Apartment,5
65,530000,exterior,4,104.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
66,510000,exterior,3,108.0,True,False,Palos de Moguer,Arganzuela,Apartment,1
68,395000,exterior,1,76.0,True,False,Chopera,Arganzuela,Apartment,6
69,315000,exterior,3,78.0,True,False,Chopera,Arganzuela,Apartment,6
71,370000,exterior,2,92.0,True,False,Legazpi,Arganzuela,bajo,0
74,139000,interior,1,32.0,False,False,Delicias,Arganzuela,bajo,0
75,175000,interior,1,45.0,True,False,Delicias,Arganzuela,sotano,0
77,397000,interior,3,77.0,True,False,Acacias,Arganzuela,Apartment,7
78,239000,interior,2,57.0,False,False,Imperial,Arganzuela,Apartment,2
80,350000,exterior,1,63.0,False,False,Delicias,Arganzuela,Apartment,5
81,155000,interior,1,53.0,True,False,Chopera,Arganzuela,Apartment,1
82,309000,exterior,3,80.0,True,False,Delicias,Arganzuela,Apartment,1
83,390000,exterior,2,85.0,True,False,Palos de Moguer,Arganzuela,Apartment,7
84,190000,exterior,3,53.0,True,False,Chopera,Arganzuela,Apartment,1
85,340000,interior,2,57.0,True,False,Acacias,Arganzuela,Apartment,5
86,165000,interior,1,30.0,True,False,Palos de Moguer,Arganzuela,bajo,0
87,455000,exterior,3,105.0,True,False,Acacias,Arganzuela,Apartment,12
88,225000,interior,2,58.0,False,False,Palos de Moguer,Arganzuela,Apartment,3
